READ SERR 1
@GJ699quiet_model.pco
!
15.9986277 0.103216857 6.55707936E-6
15.7948065 0.100604363 1.53004078E-6
15.5961132 9.80886668E-2 1.47215314E-6
15.4023581 9.56667289E-2 1.90349579E-6
15.2133579 9.33333933E-2 5.34225592E-6
15.0289402 9.10843983E-2 1.27862422E-5
14.8489399 8.89157206E-2 1.21425649E-6
14.6731997 8.68241042E-2 1.27107728E-6
14.5015717 8.48044306E-2 2.34757385E-6
14.3339119 8.28549042E-2 2.43395607E-6
14.170085 8.0971837E-2 3.83377665E-6
14.0099611 7.91522488E-2 1.25806207E-6
13.8534155 7.73933083E-2 2.25091367E-6
13.7003298 7.56928101E-2 3.31988213E-6
13.5505896 7.40468651E-2 2.110384E-6
13.404088 7.245446E-2 5.70426801E-6
13.2607212 7.09128827E-2 6.64121046E-7
13.120388 6.941998E-2 6.34634148E-7
12.982995 6.79737329E-2 6.02367152E-7
12.8484478 6.65726066E-2 6.78758227E-7
12.7166624 6.52135909E-2 6.92992501E-7
12.5875521 6.38961419E-2 7.00203316E-7
12.4610376 6.26182184E-2 8.99168413E-7
12.3370419 6.13782592E-2 7.94531104E-7
12.2154884 6.01747632E-2 2.30148112E-6
12.0963078 5.90063222E-2 1.17426162E-5
11.9794292 5.78715876E-2 3.82782162E-7
11.864789 5.67692704E-2 4.23543298E-7
11.7523212 5.56981526E-2 3.85574282E-7
11.6419649 5.46577126E-2 3.8799007E-7
11.5336628 5.36448881E-2 1.69264774E-6
11.4273577 5.26605807E-2 7.96677909E-7
11.3229933 5.17031178E-2 8.25099562E-7
11.2205191 5.07715307E-2 1.32397781E-6
11.1198826 4.98648956E-2 1.02503463E-6
11.0210352 4.89823334E-2 1.0044904E-6
10.9239302 4.81229946E-2 3.16698362E-7
10.8285208 4.72860746E-2 4.33743907E-7
10.7347641 4.64707948E-2 8.97492669E-7
10.6426172 4.56764251E-2 7.88649459E-7
10.5520382 4.49022502E-2 7.37397556E-7
10.4629879 4.41481099E-2 7.35225001E-7
10.3754282 4.34117876E-2 5.25431972E-7
10.2893219 4.26942408E-2 3.05318281E-7
10.2046328 4.19943333E-2 1.87049193E-6
10.1213274 4.13114987E-2 4.21829782E-7
10.0393705 4.06451859E-2 4.5067199E-7
9.9587307 3.99948657E-2 3.43656495E-7
9.87937546 3.9360024E-2 3.16008851E-7
9.80127525 3.87401842E-2 2.75165519E-7
9.72440052 3.81348692E-2 8.55654434E-7
9.64872169 3.75436321E-2 2.78234751E-7
9.57421207 3.6966037E-2 2.66871552E-7
9.50084496 3.64016704E-2 5.05987941E-7
9.42859268 3.58505547E-2 2.85199377E-7
9.35743046 3.53110246E-2 3.89264102E-7
9.2873354 3.47839966E-2 2.86781756E-6
9.2182827 3.42686772E-2 1.43060981E-6
9.15024948 3.37647274E-2 4.56543148E-6
9.08321285 3.32718119E-2 2.60995108E-7
9.01715183 3.27896103E-2 2.57527148E-7
8.95204449 3.23178172E-2 2.65860308E-7
8.88787079 3.18561345E-2 2.5138587E-7
8.82460976 3.14042754E-2 2.62615458E-7
8.76224327 3.09619624E-2 2.57958106E-7
8.70075321 3.05289291E-2 2.47760482E-7
8.6401186 3.01052723E-2 2.51767148E-7
8.58032322 2.96896715E-2 2.91990716E-7
8.52135086 2.92829648E-2 2.861307E-7
8.4631834 2.8884558E-2 3.28687833E-7
8.40580463 2.84942258E-2 1.83475936E-6
8.34919834 2.8111754E-2 2.21881933E-7
8.29335022 2.77369302E-2 2.20456471E-7
8.23824406 2.73695532E-2 2.15626514E-7
8.18386459 2.70094294E-2 2.13410146E-7
8.13019848 2.6656365E-2 2.13188684E-7
8.07723236 2.63101775E-2 2.79191795E-7
8.02495098 2.59706918E-2 2.19242239E-7
7.9733429 2.56377347E-2 2.02284895E-7
7.9223938 2.53114402E-2 2.00312371E-7
7.87209177 2.4990743E-2 1.01280693E-6
7.82242441 2.46763937E-2 2.71833017E-7
7.77338028 2.43679397E-2 5.360464E-7
7.72494698 2.40652319E-2 2.155451E-7
7.67711353 2.37681307E-2 1.98079334E-7
7.62986898 2.34764982E-2 1.8588355E-7
7.58320236 2.31901985E-2 1.94898888E-7
7.53710318 2.29091067E-2 1.83136635E-7
7.49156094 2.26330925E-2 3.97652173E-7
7.44656563 2.23620385E-2 1.72637698E-7
7.40210772 2.20958237E-2 1.70189637E-7
7.35817719 2.18345933E-2 1.67992667E-7
7.31476545 2.1577457E-2 2.77201394E-7
7.27186298 2.1325089E-2 1.7552442E-7
7.22946072 2.10771244E-2 2.26561525E-7
7.18755007 2.08334588E-2 2.45312663E-7
7.14612246 2.05939934E-2 1.9650804E-7
7.10516977 2.03586332E-2 3.76535041E-7
7.06468391 2.01272853E-2 1.51849576E-7
7.02465677 1.98998582E-2 1.55425752E-7
6.98508072 1.96762644E-2 1.55230467E-7
6.94594812 1.94564182E-2 1.52149354E-7
6.90725136 1.92402359E-2 1.57905674E-7
6.86898375 1.90276373E-2 1.46559955E-7
6.83113718 1.88187659E-2 1.4435166E-7
6.79370546 1.86128728E-2 1.62323616E-7
6.75668192 1.84105597E-2 1.95308712E-6
6.72005987 1.82115268E-2 3.64777151E-7
6.68383265 1.8015705E-2 9.356026E-7
6.64799404 1.78230237E-2 3.47695936E-6
6.61253738 1.76334158E-2 1.30643798E-7
6.57745743 1.74468197E-2 1.60612004E-7
6.5427475 1.72631685E-2 1.27072894E-7
6.50840187 1.70824025E-2 1.45330972E-7
6.47441483 1.69044621E-2 1.24631455E-7
6.44078112 1.67292859E-2 1.32020517E-7
6.40749502 1.65570155E-2 1.30434671E-7
6.37455082 1.63870044E-2 1.22771453E-7
6.34194422 1.62197892E-2 1.16553991E-7
6.30966902 1.6055122E-2 1.30186834E-7
6.27772093 1.5892949E-2 1.31050243E-7
6.2460947 1.57332215E-2 1.22012253E-7
6.21478558 1.55758895E-2 1.22908219E-7
6.18378878 1.54209053E-2 2.92877473E-7
6.15310001 1.52682234E-2 1.0939975E-7
6.12271404 1.5117798E-2 1.1064575E-7
6.09262657 1.49695845E-2 1.05659581E-7
6.06283331 1.48235392E-2 1.11728582E-7
6.03332996 1.46796219E-2 1.04776149E-7
6.00411272 1.45377899E-2 1.01588107E-7
5.97517681 1.43980039E-2 9.95136844E-8
5.9465189 1.42602241E-2 9.80132313E-8
5.91813421 1.41244121E-2 9.67360876E-8
5.89001894 1.39905317E-2 9.71310428E-8
5.86217022 1.38585456E-2 1.00881799E-7
5.83458281 1.37287444E-2 1.0376732E-7
5.80725384 1.36001129E-2 2.23040985E-7
5.78017998 1.34736001E-2 9.8128794E-8
5.75335789 1.33488448E-2 1.05440925E-7
5.72678328 1.32258143E-2 8.8395069E-8
5.7004528 1.3104476E-2 9.06472124E-8
5.67436361 1.29848011E-2 4.07055182E-7
5.64851189 1.28667569E-2 8.30447959E-8
5.62289476 1.27503164E-2 8.17892101E-8
5.59750891 1.26354489E-2 8.12789835E-8
5.57235146 1.25221265E-2 1.1801113E-7
5.54741907 1.24103213E-2 9.81132402E-8
5.52270889 1.2300008E-2 7.693356E-8
5.49821758 1.21911587E-2 7.80130591E-8
5.47394276 1.20837474E-2 7.45187165E-8
5.44988108 1.19777499E-2 9.769672E-8
5.42603016 1.18731409E-2 8.00955817E-8
5.40238714 1.17698964E-2 1.80800143E-7
5.37894917 1.1667992E-2 7.03461041E-8
5.35571384 1.15674064E-2 6.94103619E-8
5.33267832 1.14681153E-2 6.95153162E-8
5.3098402 1.13700973E-2 6.76522447E-8
5.28719664 1.12733301E-2 1.14649659E-7
5.26474571 1.11777941E-2 6.44476827E-8
5.24248457 1.10834669E-2 6.3435273E-8
5.22041035 1.09905889E-2 1.07245313E-7
5.19852161 1.08983573E-2 6.31853183E-8
5.17681551 1.08075375E-2 7.57125136E-8
5.15529013 1.07178483E-2 7.55470495E-8
5.13394308 1.06292712E-2 7.1733453E-8
5.11277199 1.05417874E-2 1.85448897E-7
5.09177494 1.04553793E-2 4.65223565E-7
