,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,am_b value,fw_L_b value,fw_G_b value,wave_lya,flux_lya,error_lya
18,1.311569938930906e-15,1.4443453261548379e-15,1.585498112456095e-15,1.7324312983986593e-15,1.87925361368801e-15,1.6761414151237662e-15,1.8198415689306802e-15,1.973598607821628e-15,2.135951122261969e-15,2.3000203662580748e-15,0.7851272038347519,0.8169838690469162,0.8461427948531599,0.8718618732962915,0.8956884154109156,0.8818932351395208,0.9023153778796205,0.9217840518543214,0.9389895518801534,0.9536693426190042,,,,,,,,,,,,,,,,,,,,1214.979248046875,1.7275019907058722e-15,3.3539857733310124e-16
19,1.9418553262292847e-15,2.1014760452220244e-15,2.2711466339368084e-15,2.447296250204797e-15,2.61742150595023e-15,2.5508606096888524e-15,2.736377891177181e-15,2.937180060376628e-15,3.152931941629027e-15,3.373220789577935e-15,0.7489989975063172,0.7849861551726225,0.8181525640274911,0.8476579650598176,0.8751841259549219,0.8242120521091594,0.8521726467619376,0.8796420226378325,0.9046875135951626,0.9266015282091752,,,,,,,,,,,,,,,,,,,,1215.03271484375,2.048463209090379e-15,3.3539857733310124e-16
20,2.7882432420333568e-15,2.9646672295486057e-15,3.1467615066572118e-15,3.3264385743896543e-15,3.494843287674647e-15,3.707550662892472e-15,3.967673089930544e-15,4.255162474576694e-15,4.578152962387431e-15,4.934219852196347e-15,0.7034465642789143,0.7441147886948319,0.7818488534124345,0.8158193285692662,0.847795814420911,0.7455229806674487,0.7812636654496928,0.817781097858103,0.8523975164705094,0.8836051945413728,,,,,,,,,,,,,,,,,,,,1215.0863037109375,2.7151031260514574e-15,3.3539857733310124e-16
21,3.732459176438769e-15,3.9042388489321875e-15,4.080310054146915e-15,4.2569411010250694e-15,4.429723257637719e-15,4.962385952614809e-15,5.36519870664764e-15,5.840901869582412e-15,6.41715049001181e-15,7.112465247714825e-15,0.6462378329152433,0.6919251074220293,0.7348639198928565,0.7740545305442498,0.8104286309958626,0.6477539334219998,0.6899851761194299,0.7343158461084978,0.7782333883847848,0.8195170078079849,,,,,,,,,,,,,,,,,,,,1215.1397705078125,4.113374103950542e-15,3.3539857733310124e-16
22,4.331630859513813e-15,4.545185274735986e-15,4.7673965038598585e-15,4.9958244509780755e-15,5.220576485004899e-15,5.9998066847080234e-15,6.645898883173096e-15,7.449941383779965e-15,8.472827769169332e-15,9.797996306326217e-15,0.5684411290082083,0.6205426655093292,0.6693187623857589,0.7145607500669542,0.7564389531182407,0.5377505831163967,0.5833781406756112,0.6328755488559574,0.6837109719946658,0.7332331550304121,,,,,,,,,,,,,,,,,,,,1215.1932373046875,4.681613779912615e-15,3.3539857733310124e-16
23,4.0400288002802315e-15,4.288436620939998e-15,4.5313927810840676e-15,4.7752610752466784e-15,5.013375223960768e-15,6.612849255937795e-15,7.532184786699302e-15,8.727758764319271e-15,1.0316469967088742e-14,1.2482182592216115e-14,0.428840670314234,0.4889277640480422,0.5460196108015145,0.6003940493424679,0.6513191313614614,0.42660920135819674,0.4726848603176846,0.5236102622156222,0.5771542636820673,0.6315836996828829,,,,,,,,,,,,,,,,,,,,1215.246826171875,4.967589043564612e-15,3.3539857733310124e-16
24,2.459000683497592e-15,2.65636623860221e-15,2.931232215975545e-15,3.238988564675132e-15,3.55220900515165e-15,6.7576760217863334e-15,7.891579478459119e-15,9.419868193255811e-15,1.1520170073440974e-14,1.449288048884223e-14,0.22093851050931426,0.2735422986741634,0.33508100275375585,0.40078159822233456,0.46707929153932076,0.32770078144624426,0.37120343846076226,0.4201883172352298,0.47332404316763227,0.5289081577228961,,,,,,,,,,,,,,,,,,,,1215.30029296875,3.336111895836289e-15,3.3539857733310124e-16
25,1.676928847391384e-15,1.8380588725857566e-15,2.0338612368555346e-15,2.295261064821697e-15,2.6397059442850443e-15,6.561864682922345e-15,7.813511124393625e-15,9.541593643742449e-15,1.1965998817677025e-14,1.5481542983204338e-14,0.14197917714786357,0.17944694120120433,0.22568240712954385,0.2820719961636814,0.3539568736990059,0.2508558691897206,0.28981954554996564,0.3349622728499335,0.38568310637346637,0.4401100831375412,,,,,,,,,,,,,,,,,,,,1215.3538818359375,1.921076653603384e-15,3.3539857733310124e-16
26,1.6001329263557826e-15,1.8227520593446174e-15,2.0257950377064966e-15,2.215955048105938e-15,2.395557552230498e-15,6.262022694041907e-15,7.54067186859963e-15,9.342135842268557e-15,1.189996617556581e-14,1.5646891412978178e-14,0.12873271261433816,0.16991430718279604,0.22012379728361814,0.2776701122133766,0.34224723164679643,0.20024581939402247,0.23430107799155314,0.2749185503570021,0.3230269022574985,0.3757605354557758,,,,,,,,,,,,,,,,,,,,1215.4073486328125,1.6508295212324785e-15,3.3539857733310124e-16
27,9.665596317984642e-16,1.152068645605161e-15,1.3206763173741198e-15,1.4783033985911707e-15,1.626187522553408e-15,6.0766340941415485e-15,7.324701574134963e-15,9.117188389167725e-15,1.168198178353487e-14,1.5476921652071638e-14,0.07310139982396156,0.10580331126228905,0.14526979598560424,0.1912063679419662,0.24189931425895733,0.17446255321035994,0.20507470581649465,0.24239665509624353,0.28796510582067913,0.3394786325135599,,,,,,,,,,,,,,,,,,,,1215.4609375,1.2075587569677004e-15,3.3539857733310124e-16
28,3.703223792926378e-16,4.478955798346407e-16,5.217386201745038e-16,5.973250766077236e-16,6.886142594759179e-16,6.1020916139412124e-15,7.310608872400905e-15,9.067092765469956e-15,1.1597617568403133e-14,1.5379504347432027e-14,0.02850418898361361,0.04156207247430083,0.05795187481909225,0.07814508736876463,0.10300479257375093,0.1717522612384952,0.2009646451618841,0.2370534515545168,0.2816288508071925,0.3332330577659732,,,,,,,,,,,,,,,,,,,,1215.514404296875,-3.4071995594510797e-16,3.6885704049413614e-16
29,1.6247205041712599e-16,1.8382267892926788e-16,2.0685194084849316e-16,2.321674582807478e-16,2.6476511282530637e-16,6.329234337675297e-15,7.50310484698236e-15,9.223385956788877e-15,1.172127228806634e-14,1.5474422560417296e-14,0.012793794435611386,0.017596826418948226,0.023743598853883455,0.03140595730548237,0.04121606260984249,0.19066832299730807,0.22115899823514573,0.25843214835342543,0.3041907528403829,0.358181527405002,,,,,,,,,,,,,,,,,,,,1215.56787109375,-2.7396963041585124e-17,4.0370032311459302e-16
30,9.250297647436637e-17,1.0554895900393773e-16,1.1928493296187706e-16,1.3335981180721074e-16,1.4796897337471111e-16,6.600630255737445e-15,7.763782795432303e-15,9.449204841296526e-15,1.1906034693811284e-14,1.5616530804881428e-14,0.00867672484271008,0.011747373102761692,0.01572977516139059,0.020548589502254473,0.02665336694271349,0.23180921274123065,0.26596549861633606,0.3067976593014776,0.3556621275565685,0.41590372746158777,,,,,,,,,,,,,,,,,,,,1215.6214599609375,6.181967262790656e-16,4.1335178709252295e-16
31,6.237228143547674e-17,7.514810877207999e-17,8.898353361329049e-17,1.0324038906610096e-16,1.1870313331475907e-16,6.671505904785867e-15,7.842194066270017e-15,9.47443418645446e-15,1.1861816990427147e-14,1.5428429395362595e-14,0.008615555269355432,0.011814940066933984,0.01595901306571592,0.020892986756129918,0.027249915697679337,0.2959346465726112,0.33551553856936717,0.38135884917882323,0.43465882292459634,0.5036739375737643,,,,,,,,,,,,,,,,,,,,1215.6749267578125,2.2038142926331789e-16,4.168938935894832e-16
32,5.48140580047149e-17,7.267170382920232e-17,9.495709785201771e-17,1.1843530161712496e-16,1.4523260115759658e-16,6.284263756224389e-15,7.475899860239722e-15,9.038987446579192e-15,1.1256669078702547e-14,1.4519433735688388e-14,0.012184878132669857,0.01700836002979448,0.023346103233569872,0.030745149095116657,0.040515896968197365,0.3821731498203306,0.42671321194750145,0.4775131850344248,0.5350127352201469,0.6110807128154226,,,,,,,,,,,,,,,,,,,,1215.728515625,1.6293519420636617e-15,4.562315330280714e-16
33,7.512533834364582e-17,1.168221559268873e-16,1.8333496295163678e-16,2.5531834651584443e-16,3.393579017510039e-16,5.326754899873821e-15,6.570876330647471e-15,8.015391170902531e-15,9.969128664887992e-15,1.2771607978854506e-14,0.02169678282021802,0.03180098578180352,0.04724741219800102,0.06604594261755585,0.09213208575146602,0.48424069689820487,0.5323191993014681,0.5849938220942907,0.6435988115365037,0.7181645177096894,,,,,,,,,,,,,,,,,,,,1215.781982421875,9.669371313226062e-16,4.45842303353083e-16
34,1.7515983460478224e-16,2.895394925432274e-16,4.623443170645998e-16,6.452624706643523e-16,8.512176352931389e-16,4.059795008284424e-15,5.267073829757115e-15,6.546744404753626e-15,8.186841570627113e-15,1.0405904479748654e-14,0.04884078376001737,0.07509204854683191,0.11483687986671312,0.16244698620591194,0.22750377645050682,0.5930769913035422,0.6406960075906603,0.6910429059472125,0.7448263687185751,0.8078689692951607,,,,,,,,,,,,,,,,,,,,1215.8355712890625,2.076326781406783e-15,3.869357146736379e-16
35,4.1296481528303455e-16,6.059029309740416e-16,8.162102656581254e-16,1.023215533700099e-15,1.2214550148561102e-15,2.8967060944838262e-15,3.888507198306914e-15,4.941490161232211e-15,6.246104684026688e-15,7.915619997334064e-15,0.11809167445520165,0.17127651625012533,0.2352256380049479,0.3034961158184841,0.38700658133016097,0.6964472821354254,0.7398287340658932,0.783194427925543,0.8268815687912151,0.8734811336003666,,,,,,,,,,,,,,,,,,,,1215.8890380859375,-5.46294164029457e-17,3.3539857733310124e-16
36,5.687880114966318e-16,7.692748900051464e-16,9.611332813614415e-16,1.15206604432023e-15,1.3307450425797729e-15,2.0022045466741723e-15,2.7121555089702777e-15,3.4938074052977965e-15,4.462946908707441e-15,5.651452860919629e-15,0.2232203840373944,0.29394263915866375,0.3688413136276426,0.44197639303367425,0.5238566054590803,0.785498979167708,0.8208985941798386,0.8546677308151105,0.8864704663521582,0.9173946694563919,,,,,,,,,,,,,,,,,,,,1215.9425048828125,1.629687261231656e-15,3.3539857733310124e-16
37,5.670804719096585e-16,7.296862575501039e-16,8.94161373723889e-16,1.0638746405227016e-15,1.227644358774454e-15,1.384164644869829e-15,1.839194585482913e-15,2.369201883896505e-15,3.037109658307281e-15,3.8517884783966336e-15,0.33860627853560205,0.41368307169668805,0.4878724094158622,0.5566589794014759,0.6293893089519034,0.8550939909221108,0.8812598970534679,0.9052447826773709,0.9263758149732023,0.9453376780824774,,,,,,,,,,,,,,,,,,,,1215.99609375,1.3290085644065085e-15,3.3539857733310124e-16
38,4.938282266778746e-16,6.121666846558356e-16,7.408472382343912e-16,8.786868803167833e-16,1.0195643962139029e-15,9.655080705630589e-16,1.248238990871161e-15,1.5848641197703866e-15,2.0183615902626686e-15,2.549862588267272e-15,0.44555097718795744,0.5169393974439709,0.5850663616654006,0.6463196871831633,0.7086980484283205,0.9047368866859911,0.9227336768991471,0.9384418461375215,0.9517644859776945,0.9630395298376562,,,,,,,,,,,,,,,,,,,,1216.049560546875,5.48867556002334e-16,3.3539857733310124e-16
39,4.0021552358614293e-16,4.906473579653972e-16,5.905619613252823e-16,6.956139894247232e-16,8.044534436367456e-16,6.796087050422085e-16,8.601746726391853e-16,1.0746913054157177e-15,1.3468441342189905e-15,1.6840832866177505e-15,0.5366254270275858,0.6017231238839221,0.6620526372529487,0.7153492264163892,0.7682350029817637,0.9378153376946349,0.9493268911349878,0.959273861249435,0.967642186130138,0.9746097241336649,,,,,,,,,,,,,,,,,,,,1216.1031494140625,3.9144010353823826e-16,3.3539857733310124e-16
40,3.0800282404979644e-16,3.8705836641578417e-16,4.709473335941783e-16,5.56547867815993e-16,6.41128383306854e-16,4.753344250754765e-16,6.036393401732433e-16,7.528834216736154e-16,9.30107952120021e-16,1.1413275955839628e-15,0.6119468241334548,0.6696086038994131,0.7223068302471904,0.7681754069793598,0.8129550571200458,0.9581324088363425,0.9656037979052687,0.9720708588821138,0.9776936672968161,0.9823499212649361,,,,,,,,,,,,,,,,,,,,1216.1566162109375,3.175093473662088e-16,3.3539857733310124e-16
41,2.3145958955176814e-16,3.044337934782464e-16,3.8155414285206695e-16,4.584272230174867e-16,5.328090609772877e-16,3.329519137699592e-16,4.35063029856801e-16,5.498202205474459e-16,6.774429834065422e-16,8.202970858902135e-16,0.6730712281559753,0.723641294615991,0.7693405845484229,0.8087811693789896,0.8466803055212774,0.969967912432602,0.9752372506190932,0.9799659987039245,0.9841492931978948,0.9876208953295473,,,,,,,,,,,,,,,,,,,,1216.210205078125,-3.1281456137693345e-17,3.3539857733310124e-16
42,1.7500747456725785e-16,2.424649061502225e-16,3.160523849644604e-16,3.8828776415043127e-16,4.574296047445436e-16,2.351964275202122e-16,3.2221259887068037e-16,4.198434872696964e-16,5.223944530582589e-16,6.303154932596028e-16,0.7223278635428247,0.7665971891457606,0.8061693972389297,0.8401173607872615,0.8722590283566728,0.9769221706555031,0.9810767999436971,0.9849066900296132,0.9883259021167526,0.9912793972260969,,,,,,,,,,,,,,,,,,,,1216.263671875,-2.466126632112443e-16,3.3539857733310124e-16
43,1.3497067437210984e-16,1.9781807291966207e-16,2.6781237189423674e-16,3.3535224272646053e-16,3.9978153740246443e-16,1.713357665131787e-16,2.476601946455646e-16,3.343317269497251e-16,4.2252066845512787e-16,5.122938132213658e-16,0.7622885056101419,0.8008856543767604,0.8352865478417065,0.8645953659747552,0.892067607432087,0.9812426827745884,0.9847803937734276,0.9880792563209162,0.9910847197657838,0.9936510482314129,,,,,,,,,,,,,,,,,,,,1216.317138671875,1.9191735029198015e-17,3.3539857733310124e-16
44,1.0703827705146995e-16,1.6589368906300923e-16,2.311623587988398e-16,2.9392170064880767e-16,3.532715250272923e-16,1.2969177485083685e-16,1.9841423415937395e-16,2.7609883290049975e-16,3.537030578864195e-16,4.30906788194441e-16,0.7946692139642537,0.8284587526282707,0.8584836926862792,0.8839517984642786,0.9076470426507518,0.9842054286767637,0.9873056810721872,0.9902033413581981,0.992897363586587,0.9951534602088725,,,,,,,,,,,,,,,,,,,,1216.3707275390625,-2.816744538623132e-17,3.3539857733310124e-16
45,8.780967034651905e-17,1.4243123192582616e-16,2.025133358923788e-16,2.6022304597602827e-16,3.1474378401510955e-16,1.0290248889041165e-16,1.647465227168361e-16,2.343438394098165e-16,3.032314384283453e-16,3.71137412373813e-16,0.8211541455943776,0.8508458015523348,0.8771960987060059,0.8994657697805407,0.9201491627596249,0.9863892542603233,0.9891291519302674,0.9917107624333426,0.9941137110673304,0.9961538403609499,,,,,,,,,,,,,,,,,,,,1216.4241943359375,-1.827240914338454e-16,3.3539857733310124e-16
