obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2573.73834""","=""0.00013""","=""2573.73832""","=""0.00011""","=""31000""","=""7.9e+06""",B,"=""23317.6351""","=""62171.624""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""",,"=""T7503""","=""L18349c139""",
"=""2573.852""","=""0.005""","=""2573.86040""","=""0.00012""","=""140d?""","=""""",,"=""66672.336""","=""105524.482""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""","=""3d6.(3F2).4d""","=""4H""","=""9/2""",,"=""""","=""L18349c142""",
"=""2573.8923""","=""0.0002""","=""2573.89313""","=""0.00020""","=""1700""","=""""",,"=""79245.926""","=""118097.578""","=""3d5.(6S).4s.4p.(1P*)""","=""x 6P*""","=""3/2""","=""3d5.4p2""","=""4P""","=""5/2""",,"=""""","=""L18349c148""",
"=""2573.9534""","=""0.0007""","=""2573.95286""","=""0.00014""","=""2800""","=""1.5e+06""",D,"=""33501.2957""","=""72352.046""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2573.98238""","=""0.00020""","=""2573.98231""","=""0.00011""","=""14000""","=""1.4e+07""",D+,"=""25981.6451""","=""64831.951""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2574.237""","=""0.005""","=""2574.2250""","=""0.0003""","=""330d?""","=""""",,"=""54283.236""","=""93129.879""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2574.4467""","=""0.0008""","=""2574.44689""","=""0.00011""","=""900""","=""1.4e+07""",D+,"=""66377.315""","=""105220.610""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(3H).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2574.5262""","=""0.0009""","=""2574.52654""","=""0.00012""","=""2400""","=""2.3e+06""",D+,"=""30764.4737""","=""69606.567""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3G).4p""","=""y 2F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2574.831""","=""0.005""","=""2574.81989""","=""0.00013""","=""130""","=""""",,"=""73393.771""","=""112231.439""","=""3d5.4s2""","=""4F""","=""9/2""","=""3d6.(3G).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2574.956""","=""0.005""","=""2574.95647""","=""0.00015""","=""100?""","=""""",,"=""73395.831""","=""112231.439""","=""3d5.4s2""","=""4F""","=""5/2""","=""3d6.(3G).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2575.0780""","=""0.0004""","=""2575.07874""","=""0.00011""","=""1700""","=""6.1e+06""",D+,"=""66377.315""","=""105211.079""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(5D).5d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2575.13689""","=""0.00012""","=""2575.13692""","=""0.00013""","=""210000""","=""2.4e+08""",C+,"=""20830.5534""","=""59663.440""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2575.238""","=""0.005""","=""2575.23377""","=""0.00012""","=""330""","=""""",,"=""31483.1979""","=""70314.624""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2575.440""","=""0.005""","=""2575.42831""","=""0.00011""","=""170d?""","=""""",,"=""66377.315""","=""105205.808""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(5D).5d""","=""6G""","=""5/2""",,"=""""","=""L18349c143""",
"=""2575.6505""","=""0.0008""","=""2575.64960""","=""0.00011""","=""1300""","=""2.7e+07""",D+,"=""61093.406""","=""99918.563""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3F2).5s""","=""f 4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2576.794""","=""0.005""","=""2576.79036""","=""0.00012""","=""500""","=""""",,"=""23317.6351""","=""62125.604""","=""3d5.4s2""","=""a 6S""","=""5/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2576.816""","=""0.005""","=""2576.80828""","=""0.00011""","=""170?""","=""""",,"=""65931.358""","=""104739.057""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3F2).4d""","=""4P""","=""5/2""",,"=""""","=""L18349c143""",
"=""2577.2189""","=""0.0008""","=""2577.21816""","=""0.00013""","=""800""","=""9.e+06""",D+,"=""66612.659""","=""105414.186""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""","=""3d6.(3F2).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2577.63534""","=""0.00013""","=""2577.63530""","=""0.00013""","=""40000""","=""1.32e+08""",B+,"=""33466.4943""","=""72261.742""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1G2).4p""","=""x 2H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2577.6457""","=""0.0005""","=""2577.64578""","=""0.00012""","=""1300""","=""5.8e+06""",D+,"=""66522.310""","=""105317.400""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(3P2).4d""","=""2P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2578.2015""","=""0.0011""","=""2578.20217""","=""0.00011""","=""2100""","=""8.e+05""",D,"=""22939.3512""","=""61726.069""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2578.275""","=""0.005""","=""2578.27960""","=""0.00011""","=""140d?""","=""2.3e+06""",D+,"=""65696.053""","=""104481.606""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3H).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2578.4929""","=""0.0006""","=""2578.49473""","=""0.00011""","=""2200""","=""1.0e+07""",D+,"=""61041.734""","=""99824.051""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(3F2).5s""","=""f 4F""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2578.69349""","=""0.00013""","=""2578.69359""","=""0.00011""","=""100000""","=""1.2e+08""",D+,"=""8846.7837""","=""47626.110""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2578.7965""","=""0.0007""","=""2578.79655""","=""0.00011""","=""1000""","=""7.3e+06""",D+,"=""66377.315""","=""105155.093""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2578.98210""","=""0.00020""","=""2578.98217""","=""0.00012""","=""4000""","=""1.16e+08""",C+,"=""67000.530""","=""105775.517""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""","=""3d6.(3F2).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2579.0418""","=""0.0004""","=""2579.04429""","=""0.00011""","=""2000""","=""""",,"=""65931.358""","=""104705.411""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(5D).5d""","=""6D""","=""7/2""",,"=""""","=""L18349c145""",
"=""2579.3992""","=""0.0011""","=""2579.40013""","=""0.00012""","=""700""","=""8.e+06""",D+,"=""66522.310""","=""105291.014""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2579.5621""","=""0.0014""","=""2579.56348""","=""0.00012""","=""700""","=""3.3e+06""",D,"=""66522.310""","=""105288.559""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(5D).5d""","=""6G""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2579.5830""","=""0.0005""","=""2579.57971""","=""0.00011""","=""5000bl(Fe II)*""","=""9.e+06""",D+,"=""60807.239""","=""99573.244""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3F2).5s""","=""f 4F""","=""9/2""",,"=""T6892c83""","=""L18349c148""",
"=""2579.5830""","=""0.0005""","=""2579.58297""","=""0.00013""","=""5000bl(Fe II)*""","=""""",,"=""61726.069""","=""100492.025""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""","=""3d6.(3F2).5s""","=""e 2F""","=""7/2""",,"=""""","=""L18349c148""",
"=""2579.7567""","=""0.0006""","=""2579.75615""","=""0.00013""","=""1300bl(Fe II)*""","=""7.e+05""",D,"=""27314.9183""","=""66078.272""","=""3d6.(3F2).4s""","=""a 2F""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2579.7567""","=""0.0006""","=""2579.75706""","=""0.00013""","=""1300bl(Fe II)*""","=""3.3e+07""",D+,"=""64834.069""","=""103597.409""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(3P2).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2579.88817""","=""0.00013""","=""2579.88811""","=""0.00011""","=""32000""","=""3.15e+08""",B+,"=""46967.4751""","=""85728.846""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).4d""","=""4S""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
