obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2326.5212""","=""0.0006""","=""2326.52306""","=""0.00012""","=""7000""","=""8.e+07""",D+,"=""45206.4704""","=""88189.066""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d6.(5D).4d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c148""",
"=""2326.5459""","=""0.0008""","=""2326.54518""","=""0.00010""","=""1300""","=""2.8e+07""",D+,"=""61041.734""","=""104023.921""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2326.8686""","=""0.0006""","=""2326.86826""","=""0.00011""","=""1600""","=""3.6e+06""",D,"=""62151.554""","=""105127.773""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(5D).5d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2326.8996""","=""0.0008""","=""2326.89972""","=""0.00010""","=""1100""","=""1.4e+07""",D+,"=""63948.803""","=""106924.441""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""2G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2326.93515""","=""0.00013""","=""2326.93524""","=""0.00010""","=""12000""","=""3.12e+08""",B+,"=""60625.446""","=""103600.428""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d6.(3H).4d""","=""4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.0748""","=""0.0005""","=""2327.0748""","=""0.0003""","=""7000""","=""1.16e+08""",C+,"=""50157.475""","=""93129.879""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.1266""","=""0.0011""","=""2327.12644""","=""0.00011""","=""900""","=""1.1e+07""",D+,"=""62151.554""","=""105123.005""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""","=""3d6.(3H).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.2611""","=""0.0007""","=""2327.26049""","=""0.00011""","=""1600""","=""2.2e+06""",D,"=""61512.630""","=""104481.606""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""","=""3d6.(3H).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.321""","=""0.005""","=""2327.32380""","=""0.00011""","=""250d?""","=""""",,"=""61347.566""","=""104315.373""","=""3d6.(3H).4p""","=""z 4I*""","=""15/2""","=""3d6.(3H).4d""","=""2K""","=""13/2""",,"=""""","=""L18349c143""",
"=""2327.48338""","=""0.00015""","=""2327.48365""","=""0.00010""","=""9000""","=""2.14e+08""",B+,"=""60956.781""","=""103921.637""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.52466""","=""0.00014""","=""2327.52445""","=""0.00010""","=""11000""","=""2.64e+08""",B+,"=""60807.239""","=""103771.342""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2327.720""","=""0.005""","=""2327.71093""","=""0.00011""","=""200d?""","=""""",,"=""62125.604""","=""105086.265""","=""3d6.(3P2).4p""","=""z 2D*""","=""3/2""","=""3d6.(3F2).4d""","=""4P""","=""1/2""",,"=""""","=""L18349c142""",
"=""2327.9533""","=""0.0012""","=""2327.95542""","=""0.00010""","=""700""","=""""",,"=""62171.624""","=""105127.773""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""7/2""","=""3d6.(5D).5d""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""2328.10987""","=""0.00011""","=""2328.10976""","=""0.00010""","=""260000""","=""6.6e+07""",B+,"=""667.6829""","=""43620.9842""","=""3d6.(5D).4s""","=""a 6D""","=""5/2""","=""3d6.(5D).4p""","=""z 6P*""","=""3/2""",,"=""T6610""","=""L18349c139""",
"=""2328.2035""","=""0.0007""","=""2328.20360""","=""0.00010""","=""1200""","=""3.4e+07""",D+,"=""63948.803""","=""106900.373""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.2524""","=""0.0008""","=""2328.25046""","=""0.00011""","=""5000""","=""1.0e+07""",D+,"=""45206.4704""","=""88157.176""","=""3d6.(5D).4p""","=""z 4D*""","=""1/2""","=""3d6.(5D).4d""","=""4P""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.3276""","=""0.0008""","=""2328.32741""","=""0.00010""","=""1300""","=""9.3e+07""",C+,"=""61093.406""","=""104042.692""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.4131""","=""0.0008""","=""2328.41256""","=""0.00010""","=""3100""","=""4.7e+06""",D+,"=""42237.0575""","=""85184.773""","=""3d6.(5D).4p""","=""z 6F*""","=""7/2""","=""3d6.(5D).4d""","=""e 4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.58961""","=""0.00011""","=""2328.58955""","=""0.00011""","=""21000bl(Fe II)*""","=""4.3e+08""",B+,"=""60887.606""","=""103832.057""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""","=""3d6.(3H).4d""","=""4K""","=""13/2""",,"=""T6892c83""","=""L18349c148""",
"=""2328.58961""","=""0.00011""","=""2328.59053""","=""0.00010""","=""21000bl(Fe II)*""","=""1.08e+08""",C+,"=""60807.239""","=""103751.672""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c148""",
"=""2328.6753""","=""0.0004""","=""2328.67528""","=""0.00010""","=""8000""","=""5.9e+06""",D+,"=""22637.1950""","=""65580.065""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.7355""","=""0.0008""","=""2328.73537""","=""0.00010""","=""1600""","=""8.e+05""",D,"=""61041.734""","=""103983.496""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2328.7494""","=""0.0015""","=""2328.75091""","=""0.00010""","=""1500""","=""4.3e+06""",D+,"=""45044.1916""","=""87985.667""","=""3d6.(5D).4p""","=""z 4D*""","=""3/2""","=""3d6.(5D).4d""","=""4P""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2329.2545""","=""0.0006""","=""2329.25441""","=""0.00011""","=""2300""","=""5.6e+07""",D+,"=""60989.444""","=""103921.637""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2329.3454""","=""0.0006""","=""2329.34546""","=""0.00010""","=""1600""","=""1.6e+07""",D+,"=""61093.406""","=""104023.921""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(5D).5d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2329.46285""","=""0.00020""","=""2329.46288""","=""0.00010""","=""6000""","=""1.24e+08""",C+,"=""62065.528""","=""104993.879""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.0530""","=""0.0004""","=""2330.05293""","=""0.00010""","=""2800""","=""9.7e+07""",C+,"=""60956.781""","=""103874.261""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3H).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.0766""","=""0.0005""","=""2330.0767""","=""0.0003""","=""8000""","=""1.31e+08""",C+,"=""50212.836""","=""93129.879""","=""3d6.(3P1).4s""","=""c 4P""","=""5/2""","=""3d6.(3F1).4p""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.2357""","=""0.0006""","=""2330.23580""","=""0.00010""","=""2000""","=""6.4e+07""",C+,"=""60837.560""","=""103751.672""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.4181""","=""0.0007""","=""2330.41777""","=""0.00010""","=""1500""","=""2.3e+07""",D+,"=""62083.118""","=""104993.879""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.600""","=""0.005""","=""2330.59483""","=""0.00010""","=""210d,bl(Fe II)*""","=""""",,"=""62158.126""","=""105065.627""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(5D).5d""","=""6G""","=""7/2""",,"=""""","=""L18349c142""",
"=""2330.600""","=""0.005""","=""2330.60010""","=""0.00010""","=""210d,bl(Fe II)*""","=""4.5e+06""",D+,"=""61093.406""","=""104000.810""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(5D).5d""","=""6P""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2330.70709""","=""0.00012""","=""2330.70705""","=""0.00010""","=""14000""","=""2.70e+08""",B+,"=""62158.126""","=""105063.561""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3F2).4d""","=""4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2330.825""","=""0.005""","=""2330.82354""","=""0.00011""","=""900""","=""7.e+05""",D,"=""27620.4033""","=""70523.694""","=""3d6.(3F2).4s""","=""a 2F""","=""5/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2331.041""","=""0.005""","=""2331.04356""","=""0.00012""","=""500""","=""7.e+06""",D,"=""45289.8248""","=""88189.066""","=""3d6.(5D).4p""","=""z 4F*""","=""3/2""","=""3d6.(5D).4d""","=""4P""","=""1/2""",,"=""T6892c83""","=""L18349c142""",
"=""2331.2549""","=""0.0016""","=""2331.25707""","=""0.00010""","=""1500""","=""2.1e+06""",D+,"=""41968.0698""","=""84863.382""","=""3d6.(5D).4p""","=""z 6F*""","=""11/2""","=""3d6.(5D).4d""","=""e 4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2331.3854""","=""0.0017""","=""2331.38644""","=""0.00010""","=""600""","=""3.8e+07""",D+,"=""61093.406""","=""103986.338""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3H).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2331.5406""","=""0.0013""","=""2331.54092""","=""0.00010""","=""800""","=""""",,"=""61093.406""","=""103983.496""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""""","=""L18349c139""",
"=""2331.6197""","=""0.0005""","=""2331.62007""","=""0.00010""","=""2000""","=""1.0e+07""",D+,"=""62322.445""","=""105211.079""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(5D).5d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2331.7720""","=""0.0002""","=""2331.77062""","=""0.00011""","=""5000""","=""1.77e+08""",C+,"=""61156.827""","=""104042.692""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c145""",
"=""2331.82733""","=""0.00019""","=""2331.82760""","=""0.00010""","=""7000""","=""2.51e+08""",B+,"=""60989.444""","=""103874.261""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(3H).4d""","=""4H""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2332.02332""","=""0.00011""","=""2332.02331""","=""0.00010""","=""270000""","=""3.17e+07""",B+,"=""1872.5998""","=""44753.8179""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(5D).4p""","=""z 4F*""","=""7/2""",,"=""T6610""","=""L18349c139""",
"=""2332.2600""","=""0.0003""","=""2332.26007""","=""0.00011""","=""4000""","=""5.6e+07""",D+,"=""61332.753""","=""104209.618""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(3H).4d""","=""2F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2332.68980""","=""0.00011""","=""2332.68981""","=""0.00011""","=""20000""","=""4.2e+08""",B+,"=""60837.560""","=""103706.526""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4K""","=""15/2""",,"=""T6892c83""","=""L18349c139""",
"=""2332.7904""","=""0.0012""","=""2332.79167""","=""0.00010""","=""1100""","=""3.5e+07""",D+,"=""61156.827""","=""104023.921""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(5D).5d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2332.95659""","=""0.00016""","=""2332.95647""","=""0.00011""","=""8000""","=""2.44e+08""",B+,"=""60887.606""","=""103751.672""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""","=""3d6.(3H).4d""","=""4H""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2333.2067""","=""0.0008""","=""2333.20599""","=""0.00010""","=""700""","=""1.1e+07""",D+,"=""64040.891""","=""106900.373""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2333.289""","=""0.005""","=""2333.29913""","=""0.00010""","=""260d?""","=""""",,"=""60956.781""","=""103814.552""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(5D).5d""","=""4F""","=""7/2""",,"=""""","=""L18349c143""",
"=""2333.3601""","=""0.0007""","=""2333.36131""","=""0.00011""","=""1400""","=""2.1e+07""",D+,"=""61332.753""","=""104189.382""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""","=""3d6.(3H).4d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2333.51433""","=""0.00011""","=""2333.51429""","=""0.00010""","=""600000""","=""1.31e+08""",C+,"=""384.7872""","=""43238.6066""","=""3d6.(5D).4s""","=""a 6D""","=""7/2""","=""3d6.(5D).4p""","=""z 6P*""","=""5/2""",,"=""T7351""","=""L18349c139""",
"=""2333.621""","=""0.005""","=""2333.62954""","=""0.00016""","=""500""","=""5.e+06""",D,"=""49506.922""","=""92358.625""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""2333.6659""","=""0.0007""","=""2333.66652""","=""0.00010""","=""1400""","=""5.1e+06""",D+,"=""62065.528""","=""104916.552""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2333.94768""","=""0.00012""","=""2333.94768""","=""0.00010""","=""11000""","=""4.7e+07""",D+,"=""63876.325""","=""106722.187""","=""3d6.(3F2).4p""","=""y 4G*""","=""11/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.1815""","=""0.0004""","=""2334.18150""","=""0.00012""","=""2000""","=""4.4e+07""",D+,"=""65696.053""","=""108537.623""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3G).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.42395""","=""0.00013""","=""2334.42389""","=""0.00010""","=""40000""","=""1.52e+08""",C+,"=""42658.2444""","=""85495.366""","=""3d6.(5D).4p""","=""z 6P*""","=""7/2""","=""3d6.(5D).4d""","=""6S""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.4985""","=""0.0003""","=""2334.49847""","=""0.00011""","=""3400""","=""1.01e+08""",C+,"=""62158.126""","=""104993.879""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""","=""3d6.(3F2).4d""","=""4D""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.6250""","=""0.0008""","=""2334.62486""","=""0.00010""","=""1400""","=""1.3e+07""",D+,"=""62083.118""","=""104916.552""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""","=""3d6.(3F2).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.6675""","=""0.0003""","=""2334.66770""","=""0.00011""","=""3100""","=""4.3e+07""",D+,"=""62322.445""","=""105155.093""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3F2).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.789""","=""0.003""","=""2334.78632""","=""0.00011""","=""400""","=""7.5e+06""",D+,"=""62945.045""","=""105775.517""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""","=""3d6.(3F2).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.8386""","=""0.0004""","=""2334.83871""","=""0.00011""","=""3000""","=""2.74e+08""",B+,"=""61156.827""","=""103986.338""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3H).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2334.9085""","=""0.0007""","=""2334.90647""","=""0.00011""","=""1300bl(Fe II)*""","=""6.6e+06""",D+,"=""62689.874""","=""105518.142""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""","=""3d6.(3F2).4d""","=""4F""","=""3/2""",,"=""T6892c83""","=""L18349c148""",
"=""2334.9085""","=""0.0007""","=""2334.90849""","=""0.00011""","=""1300bl(Fe II)*""","=""2.8e+06""",D+,"=""61093.406""","=""103921.637""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c148""",
"=""2334.9937""","=""0.0002""","=""2334.99365""","=""0.00010""","=""5000""","=""2.9e+06""",D+,"=""61156.827""","=""103983.496""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.03678""","=""0.00018""","=""2335.03672""","=""0.00010""","=""5000""","=""4.1e+07""",D+,"=""64040.891""","=""106866.770""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.0780""","=""0.0009""","=""2335.07876""","=""0.00010""","=""1000""","=""1.0e+07""",D+,"=""60989.444""","=""103814.552""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""","=""3d6.(5D).5d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.1946""","=""0.0008""","=""2335.19463""","=""0.00016""","=""4000""","=""3.7e+07""",D+,"=""49506.922""","=""92329.905""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d5.(4G).4s.4p.(3P*)""","=""v 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.44332""","=""0.00013""","=""2335.44332""","=""0.00010""","=""8000""","=""3.3e+07""",D+,"=""63948.803""","=""106767.226""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3F2).4d""","=""4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.4690""","=""0.0005""","=""2335.46874""","=""0.00012""","=""1000""","=""1.7e+07""",D+,"=""65363.607""","=""108181.564""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3G).4d""","=""4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.6550""","=""0.0008""","=""2335.65398""","=""0.00010""","=""1100""","=""1.7e+07""",D+,"=""60956.781""","=""103771.342""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.6814""","=""0.0010""","=""2335.68252""","=""0.00011""","=""1000""","=""""",,"=""62049.042""","=""104863.080""","=""3d5.(6S).4s.4p.(3P*)""","=""y 6P*""","=""5/2""","=""3d6.(5D).5d""","=""6P""","=""3/2""",,"=""""","=""L18349c139""",
"=""2335.74113""","=""0.00020""","=""2335.74105""","=""0.00010""","=""4000""","=""2.7e+07""",D+,"=""64087.408""","=""106900.373""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.8242""","=""0.0006""","=""2335.82415""","=""0.00011""","=""1100""","=""1.8e+07""",D+,"=""65580.065""","=""108391.507""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3G).4d""","=""4G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2335.954""","=""0.005""","=""2335.95341""","=""0.00013""","=""200d?""","=""""",,"=""65556.271""","=""108365.344""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(3G).4d""","=""4D""","=""7/2""",,"=""""","=""L18349c143""",
"=""2336.1563""","=""0.0010""","=""2336.15778""","=""0.00010""","=""800""","=""1.5e+07""",D+,"=""62322.445""","=""105127.773""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(5D).5d""","=""4D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2336.2845""","=""0.0012""","=""2336.28517""","=""0.00010""","=""700""","=""""",,"=""62065.528""","=""104868.522""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""""","=""L18349c139""",
"=""2336.367""","=""0.005""","=""2336.35678""","=""0.00010""","=""260d?""","=""2.7e+06""",D+,"=""60807.239""","=""103608.921""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3G).5s""","=""e 2G""","=""9/2""",,"=""T6892c83""","=""L18349c143""",
"=""2336.41777""","=""0.00014""","=""2336.41803""","=""0.00011""","=""9000""","=""1.73e+08""",C+,"=""62322.445""","=""105123.005""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""","=""3d6.(3H).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2336.721""","=""0.005""","=""2336.71885""","=""0.00022""","=""400?""","=""""",,"=""31811.814""","=""74606.864""","=""3d7""","=""b 2F""","=""5/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2336.992""","=""0.005""","=""2336.98840""","=""0.00010""","=""200d?""","=""""",,"=""62083.118""","=""104873.232""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""","=""3d6.(5D).5d""","=""4D""","=""7/2""",,"=""""","=""L18349c142""",
"=""2337.0145""","=""0.0011""","=""2337.01456""","=""0.00011""","=""800""","=""5.3e+07""",D+,"=""60402.333""","=""103191.968""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(3P2).4d""","=""2F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.2457""","=""0.0003""","=""2337.24566""","=""0.00010""","=""4000""","=""1.7e+07""",D+,"=""62083.118""","=""104868.522""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""","=""3d6.(5D).5d""","=""6G""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.4814""","=""0.0012""","=""2337.48315""","=""0.00016""","=""700""","=""""",,"=""65931.358""","=""108712.415""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3D).5s""","=""4D""","=""5/2""",,"=""""","=""L18349c139""",
"=""2337.53993""","=""0.00014""","=""2337.53998""","=""0.00010""","=""10000""","=""2.65e+08""",B+,"=""60837.560""","=""103617.577""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.5759""","=""0.0004""","=""2337.57577""","=""0.00010""","=""2000""","=""1.2e+07""",D+,"=""64087.408""","=""106866.770""","=""3d6.(3F2).4p""","=""y 4G*""","=""5/2""","=""3d6.(3F2).4d""","=""4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.6443""","=""0.0009""","=""2337.64659""","=""0.00016""","=""500""","=""4.1e+06""",D+,"=""65931.358""","=""108709.424""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""","=""3d6.(3G).4d""","=""4H""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.9025""","=""0.0004""","=""2337.90247""","=""0.00010""","=""1900""","=""4.9e+06""",D+,"=""63948.803""","=""106722.187""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""","=""3d6.(3H).4d""","=""4F""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2337.9681""","=""0.0008""","=""2337.96861""","=""0.00011""","=""1100""","=""1.0e+07""",D+,"=""61347.566""","=""104119.740""","=""3d6.(3H).4p""","=""z 4I*""","=""15/2""","=""3d6.(3H).4d""","=""2K""","=""15/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.0947""","=""0.0007""","=""2338.09477""","=""0.00012""","=""900bl(Fe II)*""","=""1.3e+07""",D+,"=""65363.607""","=""108133.473""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""","=""3d6.(3G).4d""","=""4H""","=""13/2""",,"=""T6892c83""","=""L18349c148""",
"=""2338.0947""","=""0.0007""","=""2338.09619""","=""0.00013""","=""900bl(Fe II)*""","=""""",,"=""60402.333""","=""103172.173""","=""3d6.(3P2).4p""","=""y 4P*""","=""5/2""","=""3d6.(3G).5s""","=""f 4G""","=""5/2""",,"=""""","=""L18349c148""",
"=""2338.1508""","=""0.0003""","=""2338.15086""","=""0.00012""","=""4000""","=""4.1e+08""",C+,"=""61035.285""","=""103804.125""","=""3d6.(3P2).4p""","=""y 4P*""","=""1/2""","=""3d6.(3P2).4d""","=""4D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.2404""","=""0.0004""","=""2338.24047""","=""0.00016""","=""9000""","=""7.3e+07""",D+,"=""49506.922""","=""92274.123""","=""3d6.(3P1).4s""","=""c 4P""","=""3/2""","=""3d6.(3P1).4p""","=""4P*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.3716""","=""0.0008""","=""2338.37120""","=""0.00011""","=""1300""","=""5.3e+07""",D+,"=""61156.827""","=""103921.637""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""","=""3d6.(3H).4d""","=""4G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2338.4777""","=""0.0002""","=""2338.47739""","=""0.00010""","=""5000""","=""1.21e+08""",C+,"=""60837.560""","=""103600.428""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""","=""3d6.(3H).4d""","=""4G""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
