wave flux error model intrinsic_lya
1.214061712739772702e+03 1.352410577153264743e-14 6.438890730772994209e-16 1.256113283420890123e-14 1.265515665846821606e-14
1.214115079775012191e+03 1.228737915669242992e-14 3.778528884581470331e-15 1.388955487513198921e-14 1.400155396140170621e-14
1.214168446463730561e+03 1.714744510585429839e-14 1.247063511016615849e-15 1.545841400425415601e-14 1.559316401701585398e-14
1.214221812805934860e+03 1.969550282981166512e-14 7.616432301111019838e-16 1.734191902220922406e-14 1.750601722218623031e-14
1.214275178801631455e+03 2.935021914933857725e-14 2.761054895621575530e-15 1.965227820064819147e-14 1.985517675127675788e-14
1.214328544450827849e+03 3.114325174846378197e-14 6.701296308153339851e-15 2.256648493246657450e-14 2.282234423935383301e-14
1.214381909753530181e+03 4.023166488733813497e-14 2.721182599935932759e-15 2.637387332955162146e-14 2.670498673077301021e-14
1.214435274709745272e+03 4.531352210969159638e-14 1.289901982679956877e-15 3.155924630934594446e-14 3.200249014131163495e-14
1.214488639319480171e+03 5.407979319904321362e-14 1.637298187923769503e-15 3.894456630859493376e-14 3.956356631812284468e-14
1.214542003582741017e+03 7.445155052285354906e-14 3.847988707923019040e-15 4.992188494722312763e-14 5.082965561884557947e-14
1.214595367499534859e+03 9.501721746261137046e-14 2.522404076215136274e-15 6.681643524643303208e-14 6.821621612040845784e-14
1.214648731069868973e+03 1.159018793533769821e-13 6.012678367906636903e-15 9.343088082368447425e-14 9.568862007597082943e-14
1.214702094293749269e+03 1.652399811337297028e-13 4.494271463039734383e-15 1.357966766096879548e-13 1.395788120166316454e-13
1.214755457171183025e+03 2.310036026965237598e-13 6.019711207446199224e-15 2.029749696417550579e-13 2.094661218951973362e-13
1.214808819702176606e+03 3.263057334697322162e-13 6.449048410719606444e-15 3.073392896622153596e-13 3.186021115739062599e-13
1.214862181886737289e+03 4.624180328923910746e-13 8.522999848454492978e-16 4.629790800928104587e-13 4.825125369076155752e-13
1.214915543724871441e+03 6.989776077112268183e-13 9.779599278839984701e-15 6.805026812207401127e-13 7.139308366882143648e-13
1.214968905216586109e+03 9.682224572718274516e-13 6.930365026381800267e-15 9.575779635260372555e-13 1.013221992460024697e-12
1.215022266361887432e+03 1.287772397375757639e-12 1.885714831386397508e-14 1.264427123235224554e-12 1.352928921492135592e-12
1.215075627160782687e+03 1.528636621392920316e-12 1.319943629911667502e-14 1.517830449583299752e-12 1.648836191722323131e-12
1.215128987613278696e+03 1.570710377393009372e-12 3.312390149241448060e-15 1.579148069758827220e-12 1.760445124342466385e-12
