# wave,continuum_fit,LyA_intrinsic_profile_bestfit,LyA_intrinsic_lower_errorbar_1sig,LyA_intrinsic_upper_errorbar_1sig
1.216360015539104552e+03,-1.463027847113225861e-16,6.229242593501082899e-19,-1.847002905483523842e-20,7.496211472786846194e-19
1.216413182402507573e+03,-1.461775416498422256e-16,5.637110422436317219e-19,-1.694156806995966280e-20,6.782242680926330856e-19
1.216466348975500068e+03,-1.460522992724703251e-16,5.125077204480929182e-19,-1.571405673543592455e-20,6.167250118519115157e-19
1.216519515258086585e+03,-1.459270575791970240e-16,4.679460606525871172e-19,-1.460874867188686414e-20,5.631573102038577455e-19
1.216572681250270989e+03,-1.458018165700112781e-16,4.289237321645640561e-19,-1.352142784525314535e-20,5.162121618065579550e-19
1.216625846952059419e+03,-1.456765762449008601e-16,3.945072133135403143e-19,-1.265004399422898077e-20,4.752651294875040787e-19
1.216679012363455286e+03,-1.455513366038555147e-16,3.638639075925382653e-19,-1.176374313201531035e-20,4.386249182558267887e-19
1.216732177484464046e+03,-1.454260976468641980e-16,3.361497251570944540e-19,-1.096501948365480082e-20,4.055798695493433650e-19
1.216785342315090475e+03,-1.453008593739146827e-16,3.104588469470769002e-19,-1.023523661268774912e-20,3.748478841519528437e-19
1.216838506855339119e+03,-1.451756217849967134e-16,2.858516380497839876e-19,-9.490924983069215550e-21,3.452649215986399945e-19
1.216891671105215210e+03,-1.450503848800976685e-16,2.615173114334187817e-19,-8.742322478580656376e-21,3.160489995642044747e-19
1.216944835064722838e+03,-1.449251486592084759e-16,2.338025470401337054e-19,-7.856410228942494479e-21,2.828643130754566441e-19
1.216997998733867007e+03,-1.447999131223165141e-16,1.776387598742036348e-19,-6.007935446040692293e-21,2.149293425943248475e-19
