,LyA_intrinsic_profile_bestfit,LyA_intrinsic_profile_high_1sig,LyA_intrinsic_profile_high_2sig,LyA_intrinsic_profile_low_1sig,LyA_intrinsic_profile_low_2sig,LyA_intrinsic_profile_median,LyA_model_high_1sig,LyA_model_high_2sig,LyA_model_low_1sig,LyA_model_low_2sig,LyA_model_median,cont,error,flux,model_best_fit,wave,LyA_intrinsic_flux_bestfit,LyA_intrinsic_flux_high_1sig,LyA_intrinsic_flux_high_2sig,LyA_intrinsic_flux_low_1sig,LyA_intrinsic_flux_low_2sig,LyA_intrinsic_flux_median
24,9.567797924224946e-15,1.3803837909523885e-14,2.0734332647224404e-14,7.274194471820345e-15,6.448329864063098e-17,9.742315781395998e-15,3.1819075002159543e-15,3.377023307863976e-15,2.7476798494992032e-15,5.1952970200895226e-17,2.9815903657266244e-15,-1.488077896212266e-16,2.2312597745879057e-16,2.9428650088271584e-15,2.935170026237611e-15,1215.2966172773984,,,,,,
25,5.910675625739103e-15,8.646992656065058e-15,1.3702499042461264e-14,4.440414550925401e-15,6.797299316630576e-17,5.945979317257243e-15,1.8391762478106356e-15,1.99719209885425e-15,1.4465514935305025e-15,5.251084958320479e-17,1.6661083458229023e-15,-1.4868253287519863e-16,2.0803927651740983e-16,1.868909039509669e-15,1.6517596288311715e-15,1215.3497899500212,,,,,,
26,2.5764582146291348e-15,3.834780519409803e-15,6.462950561845477e-15,1.9258865264727426e-15,7.129960053999221e-17,2.5708374977848678e-15,8.98388358850242e-16,1.007496107201075e-15,6.838276903232448e-16,5.252372438281806e-17,7.972875753397661e-16,-1.4855727681350552e-16,1.8673069025527056e-16,7.8490274800006e-16,7.999690612052458e-16,1215.4029623321376,,,,,,
27,1.0706459158737034e-15,1.6034071972044853e-15,2.6931738223204517e-15,8.1592032966170715e-16,7.436931428993923e-17,1.0832782888347797e-15,3.8577376153566696e-16,4.3978188901738965e-16,3.040242364546958e-16,5.116516150031862e-17,3.4328184687491016e-16,-1.4843202143613425e-16,2.0443965691730588e-16,9.949878905039726e-17,3.443620254229093e-16,1215.4561344237527,,,,,,
28,5.229175208743367e-16,7.789330186649262e-16,1.2633231507826729e-15,4.0433864805382387e-16,7.718652659208729e-17,5.356131919890345e-16,1.7776702300193535e-16,1.9358614725485322e-16,1.4944099596858047e-16,4.530363776463069e-17,1.6387915545566905e-16,-1.4830676674307458e-16,2.4734278181016947e-16,-8.689245256366041e-16,1.6264500600858115e-16,1215.5093062248711,,,,,,
29,2.7077117133094773e-16,4.0398076352176767e-16,6.511218773301729e-16,2.0898267551516865e-16,7.989898493429248e-17,2.778082585218825e-16,8.892116302973153e-17,9.595628927997754e-17,7.408942516929346e-17,3.415546779453751e-17,8.200234162611495e-17,-1.4818151273431466e-16,3.5052998007559255e-16,-1.0472711311363022e-15,8.129729328356534e-17,1215.5624777354979,,,,,,
30,1.3132815278473268e-16,1.9830022865785818e-16,3.2325292884336405e-16,1.04012729157597e-16,8.13023893277418e-17,1.3631537954415484e-16,4.207463581956525e-17,4.634598482927705e-17,3.433928070282411e-17,2.068724463941534e-17,3.823069012237865e-17,-1.4805625940984464e-16,4.3532445809224115e-16,-4.793250887376414e-16,3.7816924418356445e-17,1215.6156489556372,,,,,,
31,5.801388135565389e-17,9.575817156316177e-17,1.6213148299695884e-16,4.882624840747856e-17,4.115614890097875e-17,6.452271694579943e-17,1.8336717884941472e-17,3.5112886651557087e-17,1.4285576970150407e-17,1.0981940701500021e-17,1.6128156271932363e-17,-1.479310067696515e-16,3.9487256234780144e-16,-1.3149248845498982e-15,1.5816808833016852e-17,1215.6688198852944,,,,,,
32,2.3842621568277986e-17,4.5906935393352795e-17,1.137026214480612e-16,2.0536519715712376e-17,1.722556082597116e-17,2.7195972268881166e-17,7.06976313683141e-18,2.50421950225559e-17,5.277946131849094e-18,4.113581846369716e-18,6.071365260212956e-18,-1.478057548137254e-16,3.080438018817961e-16,-2.918764839418692e-16,5.921908504779089e-18,1215.7219905244738,,,,,,
33,9.688525004029203e-18,1.9322517721136997e-17,1.1124784060926265e-16,8.709074570064732e-18,7.221371116136415e-18,1.16305947342128e-17,2.6149458350867197e-18,1.0470800718055078e-17,1.884563041460524e-18,1.3599193052022638e-18,2.212923248370224e-18,-1.4768050354205525e-16,2.0120904519299228e-16,-6.804625790286179e-16,2.1017881328280186e-18,1215.77516087318,,,,,,
34,4.339836835786559e-18,9.128322487414113e-18,1.1196863998960895e-16,4.140706958067459e-18,3.3790608417266475e-18,5.625366775414304e-18,1.3252255508640914e-18,4.278395969238712e-18,8.209324135347063e-19,5.525967990079446e-19,1.0483947208179917e-18,-1.4755525295462847e-16,1.6760276192073682e-16,3.1238732669904233e-16,9.007246208160864e-19,1215.8283309314186,,,,,,
35,2.4258729813781784e-18,5.365153212041653e-18,1.1192226245979715e-16,2.4351409559226907e-18,1.9528374197206535e-18,3.3511168124656085e-18,1.2863931257849241e-18,2.784355548322825e-18,7.144134580648958e-19,4.604208778240899e-19,9.438562636626266e-19,-1.4743000305143479e-16,1.248582362844434e-16,2.9340075415578005e-16,7.410975493904215e-19,1215.8815006991936,,,,,,
36,1.7644173207387175e-18,3.966157053647925e-18,1.1121138916737404e-16,1.808366577132446e-18,1.4427230349161912e-18,2.4955078662115427e-18,1.446836558477431e-18,2.724287761657258e-18,7.880693311068688e-19,5.639686687763013e-19,1.0286237763447853e-18,-1.4730475383246277e-16,1.1334943994197803e-16,6.917944996189602e-19,7.766048995231844e-19,1215.93467017651,,,,,,
