#WAVELENGTH FLUX ERROR_LOWER ERROR_UPPER
144.03151393465444 8.209514624590285e-17 7.75003778567668e-17 6.794508822910763e-17
144.31957696252374 1.9428980022381018e-16 1.5224169410642397e-16 1.8262601495866872e-16
144.60821611644877 6.976331160599491e-17 6.731736246009851e-17 5.608717907794061e-17
144.89743254868168 1.7190072354990428e-17 1.3704749089854597e-17 2.2106683553006123e-17
145.18722741377906 1.953763494746652e-17 1.7353184511718366e-17 1.775151875400772e-17
145.4776018686066 7.245003118269241e-17 6.006497202735409e-17 6.824607809338291e-17
145.7685570723438 2.1029666977517795e-17 1.5161135757543825e-17 4.510286426975873e-17
146.0600941864885 5.0229454710958564e-17 4.567709675296308e-17 4.193744966584505e-17
146.3522143748615 2.584211335957401e-17 2.3464701317087814e-17 2.350490137994931e-17
146.6449188036112 1.280587523181678e-17 1.0266030461202846e-17 1.3246194858605458e-17
146.9382086412184 2.1841167384144868e-17 1.76319411816515e-17 2.3905866431437862e-17
147.23208505850084 1.445623446858106e-16 1.1547577925229274e-16 1.3549837233928323e-16
147.52654922861785 4.537414872239298e-17 3.965988735899261e-17 4.4908807790115497e-17
147.82160232707508 1.0828042107320184e-16 1.0038064988582963e-16 9.064127727470937e-17
148.11724553172922 2.1011214793259385e-16 2.0151721194799845e-16 1.943415063437738e-16
148.4134800227927 2.028693727342326e-15 1.9568516295048402e-15 1.6842994805351071e-15
148.71030698283826 2.3311715207155335e-17 1.8964923779313324e-17 2.105402240046535e-17
149.00772759680393 3.2357805362378736e-17 2.978101198214866e-17 2.802793067602886e-17
149.30574305199752 1.715765285524979e-17 1.4066532766479955e-17 2.1282635431282494e-17
149.60435453810155 3.2906562936079194e-17 3.1489157572367e-17 2.8569995286262254e-17
149.90356324717771 4.754418487508994e-17 3.656311094940508e-17 6.287199543665253e-17
150.20337037367207 2.7648651044208724e-16 2.5481760202136757e-16 2.4293908868943355e-16
150.50377711441942 1.2315984839605676e-17 1.1399837875963705e-17 9.631816706743183e-18
150.80478466864827 5.645224355001867e-18 4.572332109091639e-18 6.8977374651001095e-18
151.10639423798557 1.643048443543783e-17 1.490926198751664e-17 1.4376692084319767e-17
151.40860702646157 1.1096193397439167e-16 9.97573150861787e-17 1.02622449459021e-16
151.71142424051448 1.1678426850367265e-16 9.603675021921637e-17 8.94484031632052e-17
152.0148470889955 9.991399550539858e-16 9.6789550180229e-16 7.388482943876239e-16
152.3188767831735 5.80995857024821e-17 5.558052916222758e-17 4.7119331030009865e-17
152.62351453673986 2.0914258717464e-16 2.012998480032021e-16 1.750659726623988e-16
152.92876156581335 5.1774343285667044e-17 4.8879207109440623e-17 4.375189109510104e-17
153.23461908894498 5.796600975903887e-16 5.619092542610959e-16 4.2488309668845436e-16
153.54108832712285 1.2733183480115613e-16 1.2221989298105698e-16 1.0427473946169305e-16
153.84817050377708 1.528633129418101e-16 1.4512659062542766e-16 1.2789291818379574e-16
154.15586684478467 5.229393390641468e-16 4.487726076648399e-16 3.838904005476333e-16
154.46417857847422 9.089358993229377e-17 8.722193955014428e-17 6.333599615145815e-17
154.77310693563115 5.921837793368359e-17 5.124218401585915e-17 4.7346825439428964e-17
155.08265314950242 7.638467850404699e-17 6.60889978774458e-17 5.2747326148575175e-17
