READ SERR 1
@GJ699all_model.pco
!
7.9223938 2.53114402E-2 3.51892652E-7
7.87209177 2.4990743E-2 9.88941679E-7
7.82242441 2.46763937E-2 4.45112335E-7
7.77338028 2.43679397E-2 7.78769731E-7
7.72494698 2.40652319E-2 3.53066099E-7
7.67711353 2.37681307E-2 3.39470802E-7
7.62986898 2.34764982E-2 3.30392737E-7
7.58320236 2.31901985E-2 3.29991849E-7
7.53710318 2.29091067E-2 3.20026629E-7
7.49156094 2.26330925E-2 4.60066531E-7
7.44656563 2.23620385E-2 3.09909723E-7
7.40210772 2.20958237E-2 3.05997048E-7
7.35817719 2.18345933E-2 3.02127461E-7
7.31476545 2.1577457E-2 3.72630581E-7
7.27186298 2.1325089E-2 3.06352689E-7
7.22946072 2.10771244E-2 3.35189924E-7
7.18755007 2.08334588E-2 3.96396729E-7
7.14612246 2.05939934E-2 3.11116253E-7
7.10516977 2.03586332E-2 4.68971706E-7
7.06468391 2.01272853E-2 2.7568754E-7
7.02465677 1.98998582E-2 2.75731622E-7
6.98508072 1.96762644E-2 2.73635067E-7
6.94594812 1.94564182E-2 2.69356775E-7
6.90725136 1.92402359E-2 2.71406037E-7
6.86898375 1.90276373E-2 2.61323493E-7
6.83113718 1.88187659E-2 2.57742954E-7
6.79370546 1.86128728E-2 2.72638545E-7
6.75668192 1.84105597E-2 1.75621528E-6
6.72005987 1.82115268E-2 4.25139774E-7
6.68383265 1.8015705E-2 9.05568186E-7
6.64799404 1.78230237E-2 3.09461643E-6
6.61253738 1.76334158E-2 2.35292106E-7
6.57745743 1.74468197E-2 2.60071118E-7
6.5427475 1.72631685E-2 2.29623197E-7
6.50840187 1.70824025E-2 2.45237317E-7
6.47441483 1.69044621E-2 2.2546142E-7
6.44078112 1.67292859E-2 2.30425329E-7
6.40749502 1.65570155E-2 2.27717223E-7
6.37455082 1.63870044E-2 2.20254734E-7
6.34194422 1.62197892E-2 2.12947654E-7
6.30966902 1.6055122E-2 2.30777005E-7
6.27772093 1.5892949E-2 2.25562459E-7
6.2460947 1.57332215E-2 2.14770168E-7
6.21478558 1.55758895E-2 2.14899757E-7
6.18378878 1.54209053E-2 4.08250656E-7
6.15310001 1.52682234E-2 1.9781379E-7
6.12271404 1.5117798E-2 1.99214796E-7
6.09262657 1.49695845E-2 1.91716254E-7
6.06283331 1.48235392E-2 2.02085303E-7
6.03332996 1.46796219E-2 1.89920144E-7
6.00411272 1.45377899E-2 1.85028625E-7
5.97517681 1.43980039E-2 1.82032679E-7
5.9465189 1.42602241E-2 1.79681251E-7
5.91813421 1.41244121E-2 1.77688378E-7
5.89001894 1.39905317E-2 1.76601361E-7
5.86217022 1.38585456E-2 1.78316938E-7
5.83458281 1.37287444E-2 2.0144094E-7
5.80725384 1.36001129E-2 2.70321721E-7
5.78017998 1.34736001E-2 1.86923756E-7
5.75335789 1.33488448E-2 2.1062921E-7
5.72678328 1.32258143E-2 1.63065735E-7
5.7004528 1.3104476E-2 1.62382051E-7
5.67436361 1.29848011E-2 4.52897609E-7
5.64851189 1.28667569E-2 1.5364823E-7
5.62289476 1.27503164E-2 1.51635348E-7
5.59750891 1.26354489E-2 1.50976859E-7
5.57235146 1.25221265E-2 1.77502528E-7
5.54741907 1.24103213E-2 1.61082426E-7
5.52270889 1.2300008E-2 1.43817061E-7
5.49821758 1.21911587E-2 1.43483547E-7
5.47394276 1.20837474E-2 1.39539495E-7
5.44988108 1.19777499E-2 1.56523299E-7
5.42603016 1.18731409E-2 1.41603181E-7
5.40238714 1.17698964E-2 2.35487093E-7
5.37894917 1.1667992E-2 1.32710554E-7
5.35571384 1.15674064E-2 1.30054701E-7
