; COS G130M     1222 2019-03-04 Prop=   15071
       1070.4167       4.4062541e-015       8.1916168e-015
       1070.4267       4.6313615e-015       8.1063080e-015
       1070.4367      -3.3341819e-015       2.2668350e-016
       1070.4466       7.2731256e-015       1.0343159e-014
       1070.4566      -3.2437658e-015       2.5539317e-016
       1070.4666       4.8952460e-015       8.2172721e-015
       1070.4765      -3.1539073e-015       2.0258681e-016
       1070.4865       7.3928528e-015       1.0343426e-014
       1070.4965      -3.2746741e-015       2.8537479e-016
       1070.5064      -3.2729371e-015       2.8472373e-016
       1070.5164      -3.1747664e-015       2.7200279e-016
       1070.5264      -3.2823053e-015       2.2729781e-016
       1070.5364      -3.2264270e-015       2.7101718e-016
       1070.5463       4.8425933e-015       8.2606478e-015
       1070.5563      -3.1950226e-015       2.2395076e-016
       1070.5663       7.3070153e-015       1.0291749e-014
       1070.5762      -3.1924473e-015       2.4144638e-016
       1070.5862      -3.1836662e-015       1.9408580e-016
       1070.5962       6.7426554e-015       1.0125440e-014
       1070.6061      -3.7342418e-015       4.9113786e-016
       1070.6161      -4.0138699e-015       3.3915102e-016
       1070.6261      -3.9405102e-015       2.4793086e-016
       1070.6361      -3.9386829e-015       2.4748470e-016
       1070.6460      -3.8801075e-015       2.7517077e-016
       1070.6560      -3.8211266e-015       3.0335417e-016
       1070.6660      -3.8239223e-015       3.0080537e-016
       1070.6759      -3.8843730e-015       2.8819041e-016
       1070.6859      -3.8454738e-015       2.5389510e-016
       1070.6959      -3.9440193e-015       2.4114383e-016
       1070.7058      -3.9437215e-015       2.4132815e-016
       1070.7158       4.1938839e-015       8.3130147e-015
       1070.7258       4.0810924e-015       8.0862775e-015
       1070.7358      -4.0430248e-015       2.9310387e-016
       1070.7457       4.3438607e-015       8.4203679e-015
       1070.7557       6.3251036e-015       1.0087392e-014
       1070.7657      -4.0222826e-015       3.2755267e-016
       1070.7756      -3.9552960e-015       2.9685929e-016
       1070.7856      -3.9262758e-015       3.1921693e-016
       1070.7956      -3.9591175e-015       3.1668854e-016
       1070.8055      -4.0171235e-015       2.6910592e-016
       1070.8155      -4.0176097e-015       2.6933196e-016
       1070.8255       1.2613967e-014       8.5721127e-015
       1070.8355      -4.0557890e-015       3.0482745e-016
       1070.8454       1.1842980e-014       8.2380800e-015
       1070.8554       3.9445786e-015       8.1823890e-015
       1070.8654      -3.9275431e-015       2.6071800e-016
       1070.8753       3.9754027e-015       7.9954558e-015
       1070.8853      -3.9770420e-015       2.8724287e-016
       1070.8953      -3.9809744e-015       2.7345111e-016
       1070.9052      -3.9235746e-015       3.0212982e-016
       1070.9152      -3.9239966e-015       3.0220713e-016
       1070.9252       4.0097494e-015       8.8490239e-015
       1070.9352      -4.3970598e-015       4.6048344e-016
       1070.9451      -4.6196200e-015       2.4915754e-016
       1070.9551       3.9454676e-015       8.6666496e-015
       1070.9651      -4.6816197e-015       9.4215868e-017
       1070.9750      -4.6136586e-015       1.2459500e-016
       1070.9850      -4.6748969e-015       4.3229824e-017
       1070.9950      -4.6402002e-015       7.7424758e-017
       1071.0049      -4.7404762e-015       8.7713799e-017
       1071.0149      -4.6555483e-015       6.5972738e-017
       1071.0249       5.5740803e-015       1.0429856e-014
       1071.0349       5.6189577e-015       1.0473854e-014
       1071.0448      -4.6912515e-015       2.8964188e-016
       1071.0548      -4.7729512e-015       2.7621741e-016
       1071.0648      -4.7338262e-015       2.4522438e-016
       1071.0747       5.6529587e-015       1.0498549e-014
       1071.0847      -4.6923526e-015       2.0480294e-016
       1071.0947      -4.7289353e-015       2.2726177e-016
       1071.1046       5.5652808e-015       1.0515939e-014
       1071.1146      -4.6399223e-015       2.6278714e-016
       1071.1246      -4.6625656e-015       3.6258258e-016
       1071.1346       5.3664045e-015       9.9234416e-015
       1071.1445      -4.7512303e-015       2.5281444e-016
       1071.1545      -4.7483243e-015       2.7650152e-016
       1071.1645      -4.8236047e-015       2.8073426e-016
       1071.1744      -4.4511682e-015       3.8206419e-016
       1071.1844      -4.4802810e-015       3.9241378e-016
       1071.1944       5.9185617e-015       1.0575115e-014
       1071.2043       5.8927385e-015       1.0497300e-014
       1071.2143      -4.3502004e-015       2.6625475e-016
       1071.2243      -4.4513610e-015       3.1342970e-016
       1071.2343      -4.3405930e-015       3.5272056e-016
       1071.2442       3.4448075e-015       7.5905738e-015
       1071.2542       3.5589600e-015       7.5275914e-015
       1071.2642      -4.2756497e-015       4.4081964e-016
       1071.2741      -4.1982673e-015       4.6199042e-016
       1071.2841       6.0350153e-015       1.0642356e-014
       1071.2941       3.6165501e-015       7.6468658e-015
       1071.3040       1.1477499e-014       1.5502141e-014
       1071.3140       4.0067101e-015       7.4820679e-015
       1071.3240      -3.8355702e-015       3.9860316e-016
       1071.3340       4.3173895e-015       7.6274444e-015
       1071.3439      -3.3973001e-015       2.7600773e-016
       1071.3539       6.9136784e-015       1.0398526e-014
       1071.3639      -3.2635603e-015       2.0437723e-016
       1071.3738       1.2280447e-014       7.6540421e-015
       1071.3838      -3.2604090e-015       1.7003914e-016
       1071.3938      -3.2841017e-015       1.7974751e-016
       1071.4037      -3.2241052e-015       2.0242556e-016
       1071.4137       6.9012261e-015       1.0285502e-014
       1071.4237      -3.2859923e-015       1.5746402e-016
       1071.4336      -3.2856978e-015       1.5744996e-016
       1071.4436      -3.3027840e-015       1.7640439e-016
       1071.4536      -3.3712971e-015       1.8793700e-016
       1071.4636       1.2524621e-014       1.6086644e-014
       1071.4735      -3.4459884e-015       2.3335507e-016
       1071.4835       6.6516012e-015       1.0086130e-014
       1071.4935      -3.3139709e-015       2.2535494e-016
