,wave_mm,flux_mm,error_mm,cont_mm,LyA_intrinsic_profile_low_2sig_mm,LyA_intrinsic_profile_low_1sig_mm,LyA_intrinsic_profile_median_mm,LyA_intrinsic_profile_high_1sig_mm,LyA_intrinsic_profile_high_2sig_mm,LyA_model_low_2sig_mm,LyA_model_low_1sig_mm,LyA_model_median_mm,LyA_model_high_1sig_mm,LyA_model_high_2sig_mm,wave_b,flux_b,error_b,cont_b,model_best_fit_b,LyA_intrinsic_profile_bestfit,LyA_intrinsic_profile_low_2sig_b,LyA_intrinsic_profile_low_1sig_b,LyA_intrinsic_profile_median_b,LyA_intrinsic_profile_high_1sig_b,LyA_intrinsic_profile_high_2sig_b,LyA_model_low_2sig_b,LyA_model_low_1sig_b,LyA_model_median_b,LyA_model_high_1sig_b,LyA_model_high_2sig_b,LyA_intrinsic_flux_low_2sig_mm,LyA_intrinsic_flux_low_1sig_mm,LyA_intrinsic_flux_median_mm,LyA_intrinsic_flux_high_1sig_mm,LyA_intrinsic_flux_high_2sig_mm,LyA_intrinsic_flux_low_2sig_b,LyA_intrinsic_flux_low_1sig_b,LyA_intrinsic_flux_median_b,LyA_intrinsic_flux_high_1sig_b,LyA_intrinsic_flux_high_2sig_b
10,1214.5631272949595,1.0613844651296752e-15,4.7251013e-16,-2.3978716512967524e-16,4.816741452037243e-16,5.853560071267799e-16,6.797821789421101e-16,7.720645315956383e-16,8.620610688381997e-16,4.441606814071398e-16,5.344931974043383e-16,6.182190619030419e-16,6.985129971412792e-16,7.74817426649931e-16,1214.5608928102906,-1.3869143119888744e-16,2.749620012440835e-16,2.970558948804727e-17,8.254370522104104e-17,9.13811939100039e-17,1.5774109045516652e-17,3.961461013550937e-17,9.13811939100039e-17,1.5762990980118107e-16,2.2818116296050744e-16,1.3671956535462334e-17,3.595386092578179e-17,8.254370522104104e-17,1.4230940445865448e-16,2.0499751253538357e-16,,,,,,,,,,
11,1214.616494766105,3.7295373337059764e-16,4.1152170865092944e-16,-2.3976312337059765e-16,5.722014125576578e-16,6.747286559104948e-16,7.780715473373674e-16,8.814216950618356e-16,9.84594159934484e-16,5.210854754356751e-16,6.101155362704368e-16,6.999687917385536e-16,7.884214964111209e-16,8.752047191564668e-16,1214.6142288753467,-1.4193650314909567e-16,2.749620012440835e-16,2.981671814898754e-17,1.0701304523393366e-16,1.2029448256998144e-16,2.933974533841117e-17,6.276667054876699e-17,1.2029448256998144e-16,1.9287817445136415e-16,2.699765470452486e-16,2.5132095678757006e-17,5.59245866824886e-17,1.0701304523393366e-16,1.718609990149878e-16,2.3964895131913395e-16,,,,,,,,,,
12,1214.6698618915996,7.448779217672339e-16,4.1152170865092944e-16,-2.397390817672339e-16,6.763545836290018e-16,7.862513532739472e-16,9.00313602285025e-16,1.0173078101243118e-15,1.1390420673548154e-15,6.06839168322417e-16,7.020558113817623e-16,7.998794631849021e-16,8.976409190198805e-16,9.987362710662668e-16,1214.6675649404028,-8.740521519621316e-17,2.749620012440835e-16,2.992784680992782e-17,1.4557811179003114e-16,1.666735070149649e-16,5.328425940455001e-17,1.0170318635619829e-16,1.666735070149649e-16,2.4784734644759877e-16,3.3231747420512877e-16,4.4767599925913634e-17,8.823007689968024e-17,1.4557811179003114e-16,2.1727734724237064e-16,2.90527418725291e-16,,,,,,,,,,
13,1214.7232286714482,1.1483362403195817e-15,5.1341563e-16,-2.3971504031958183e-16,8.041081460466236e-16,9.26342050355997e-16,1.054880136403746e-15,1.188621022177489e-15,1.3364531394895108e-15,7.089853245174983e-16,8.1409452555699275e-16,9.22603088028965e-16,1.0320824095259926e-15,1.1538438630254237e-15,1214.720901005459,1.794837974878164e-16,3.202654902427294e-16,3.00389754708677e-17,2.063588111874467e-16,2.417046244293484e-16,9.495011828456676e-17,1.6335009837906218e-16,2.417046244293484e-16,3.3746925730372823e-16,4.3477522792044004e-16,7.777315352653403e-17,1.3785988785367246e-16,2.063588111874467e-16,2.8991130481024215e-16,3.7291100424567384e-16,,,,,,,,,,
14,1214.7765951056595,1.0749479990276376e-15,4.1152170865092944e-16,-2.396909990276375e-16,9.698051003431805e-16,1.1075323966655548e-15,1.2536599988894422e-15,1.4088340042758856e-15,1.592062360943399e-15,8.376650712277266e-16,9.539633122543302e-16,1.0741326334392388e-15,1.1978409465915535e-15,1.3541354199028589e-15,1214.774237070515,3.9432432921327324e-16,3.9843625212358516e-16,3.0150104131807976e-17,3.0528132825355914e-16,3.6525290355294313e-16,1.6692412032033463e-16,2.6169197754411986e-16,3.6525290355294313e-16,4.857822854213455e-16,6.118885272661067e-16,1.3209627383811574e-16,2.1398857106213289e-16,3.0528132825355914e-16,4.0679875437834206e-16,5.1283558056747e-16,,,,,,,,,,
15,1214.8299611942386,8.325792578913985e-16,4.1152170865092944e-16,-2.3966695789139853e-16,1.1925180943956322e-15,1.3481846291811656e-15,1.5162998783147328e-15,1.6988973480216009e-15,1.9229227082071215e-15,1.0048750668604533e-15,1.1328027190446538e-15,1.265162038117862e-15,1.403241988527881e-15,1.6048440106929559e-15,1214.8275731355711,1.114642258514395e-15,6.958009514420618e-16,3.026123279274786e-17,4.610519396231387e-16,5.687403583042214e-16,2.908459850574448e-16,4.2228797934086557e-16,5.687403583042214e-16,7.313852155976107e-16,9.103030444582536e-16,2.2063118359566492e-16,3.329022111709843e-16,4.610519396231387e-16,5.952970125491396e-16,7.416770015073988e-16,,,,,,,,,,
16,1214.883326937193,9.215809869108618e-16,5.562646e-16,-2.3964291691086177e-16,1.4970371084921666e-15,1.676478622140831e-15,1.873686129007384e-15,2.0928692033389577e-15,2.3537809624402024e-15,1.22361621894057e-15,1.3646037824221838e-15,1.509776519624253e-15,1.662340604888617e-15,1.9064381329220207e-15,1214.8809092006272,6.754050903477675e-16,4.406747326126057e-16,3.0372361453688133e-17,7.027123050462757e-16,8.984049359882258e-16,5.014111937535848e-16,6.86100083190488e-16,8.984049359882258e-16,1.1333573664198428e-15,1.3888700795699105e-15,3.620730902259142e-16,5.187836053753126e-16,7.027123050462757e-16,8.925592399135369e-16,1.0893215652933729e-15,,,,,,,,,,
17,1214.9366923345292,3.328291676086024e-15,7.2668666e-16,-2.3961887608602406e-16,1.9156863418126312e-15,2.1300544732555268e-15,2.3715627403769056e-15,2.643601434527789e-15,2.946310472801281e-15,1.510681285051208e-15,1.6651463845838671e-15,1.8246374784678918e-15,1.99351097169134e-15,2.2367097923283238e-15,1214.9342452656833,1.1157611610518872e-15,7.018928447094654e-16,3.048349011462841e-17,1.0713115564081457e-15,1.42797841087503e-15,8.529789705851239e-16,1.1177323186050412e-15,1.42797841087503e-15,1.7702119167494865e-15,2.135805934064054e-15,5.834371554709075e-16,8.074783680775992e-16,1.0713115564081457e-15,1.334842425710083e-15,1.588556693483187e-15,,,,,,,,,,
18,1214.9900573862542,1.3652537354168824e-15,4.1152170865092944e-16,-2.3959483541688235e-16,2.4813065697418065e-15,2.754757407737851e-15,3.0737983158437107e-15,3.4457893813037485e-15,3.889126850875729e-15,1.88159617528487e-15,2.0519463663942982e-15,2.2292668193716137e-15,2.4163609542772325e-15,2.632829963790609e-15,1214.9875813307394,2.7425304119523234e-15,1.1117611017586908e-15,3.059461877556829e-17,1.6087861039948243e-15,2.2535430612874393e-15,1.4244891663999506e-15,1.8072593534627446e-15,2.2535430612874393e-15,2.747195779464325e-15,3.2797022157528404e-15,9.25460537096061e-16,1.249321344379907e-15,1.6087861039948243e-15,1.952165399413695e-15,2.2713378953769224e-15,,,,,,,,,,
19,1215.0434220923742,3.468132994903434e-15,8.401334e-16,-2.395707949034339e-16,3.186188854568771e-15,3.594526712537397e-15,4.080714194414503e-15,4.6768593563978364e-15,5.444692347937893e-15,2.3434583252493573e-15,2.5368286505533994e-15,2.7418055510707023e-15,2.9569222918879496e-15,3.1776080182363393e-15,1215.0409173957955,3.0623820377570104e-15,1.1715931611774666e-15,3.0705747436508566e-17,2.3400406072441917e-15,3.4894612150341745e-15,2.290526014106162e-15,2.844356528960515e-15,3.4894612150341745e-15,4.217025759369303e-15,5.038459880483386e-15,1.4488306578644184e-15,1.891615759360766e-15,2.3400406072441917e-15,2.7637480707428324e-15,3.159344520453091e-15,,,,,,,,,,
