,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,am_b value,fw_L_b value,fw_G_b value,wave_lya,flux_lya,error_lya
61,1.2429010151259555e-20,8.485604537553842e-20,5.153860074441205e-19,1.714991321414865e-18,3.543876195505717e-18,5.457342568715239e-12,5.650211458481458e-12,5.864647642943949e-12,6.0923422351564474e-12,6.327917537158962e-12,2.1097258326197225e-09,1.4508597715585658e-08,8.85185976174358e-08,2.9605331378926706e-07,6.167451416959531e-07,0.372149596207735,0.3726287421299872,0.3733290563048225,0.3740719918933516,0.3748445456900252,,,,,,,,,,,,,,,,,,,,1215.5939722232272,4.552903681177971e-15,1.396056833774962e-14
62,2.1124660330198496e-17,3.131471461456219e-17,4.2981162078684476e-17,5.648254185962264e-17,7.184835251271977e-17,5.458381908649169e-12,5.65121320624503e-12,5.865651218652952e-12,6.093298909788717e-12,6.3288729312817884e-12,3.595075588391257e-06,5.371401397590367e-06,7.423880676185698e-06,9.82678583287904e-06,1.2578687392651059e-05,0.3699566964475447,0.3701304189841551,0.3704745548194167,0.37084435597334436,0.3712284457547817,,,,,,,,,,,,,,,,,,,,1215.6068365317685,-4.1514935216676323e-16,1.4489049134200523e-14
63,1.8850411431616962e-16,2.2797170444350505e-16,2.706782551852639e-16,3.167263552414303e-16,3.660521595340805e-16,5.4585818018011924e-12,5.651365281351133e-12,5.865784566825617e-12,6.093376293470002e-12,6.32887833550158e-12,3.218312734715614e-05,3.92634803007611e-05,4.695455752147172e-05,5.536479189180123e-05,6.4440503799648e-05,0.36988838707298677,0.3699576860641109,0.3700373964187525,0.3701292824453835,0.3702573295921461,,,,,,,,,,,,,,,,,,,,1215.6197005923768,-7.972804876744546e-15,1.428917985183461e-14
64,7.345185534937458e-16,8.43458923809972e-16,9.599357679286042e-16,1.0825576792538683e-15,1.2110527496361826e-15,5.45816587201632e-12,5.65088434861345e-12,5.865213251466399e-12,6.092675522880187e-12,6.328074866114778e-12,0.00012590550401994063,0.0001457165491284571,0.0001670589173575511,0.00018985683077908297,0.00021389604166445773,0.37133339138134636,0.37165631902379276,0.3719944388957283,0.3723441063082428,0.37282379722428677,,,,,,,,,,,,,,,,,,,,1215.632564405067,-1.386094851145839e-14,1.5374950729338428e-14
65,2.1542606447103085e-15,2.413083967550128e-15,2.685870453978841e-15,2.9681455787856637e-15,3.2578106162800466e-15,5.456740455288674e-12,5.649216867826946e-12,5.863307800492361e-12,6.090497804921402e-12,6.3256244808878304e-12,0.0003704749265484126,0.00041791688890248466,0.0004686596948728582,0.000522060386530407,0.0005774285062406481,0.3750390509239458,0.3756855492827894,0.37636364816656637,0.3770595091685456,0.3778629966389596,,,,,,,,,,,,,,,,,,,,1215.645427969853,7.0154532252919435e-15,1.495037546452721e-14
66,5.352365051950158e-15,5.8819208143068246e-15,6.43579266829147e-15,7.000370363702952e-15,7.571454027421045e-15,5.453278514278591e-12,5.645282009866827e-12,5.858823924400264e-12,6.085383955987148e-12,6.31977281850664e-12,0.0009223124114334924,0.0010210379030180675,0.001126152321814895,0.0012352224732308167,0.0013465745084472811,0.38109120709899613,0.3820784869237618,0.38312344292942235,0.3841970624190942,0.3853561202009284,,,,,,,,,,,,,,,,,,,,1215.6582912867493,3.422549215431532e-14,1.7032963513480097e-14
67,1.16194223328865e-14,1.2564213508940595e-14,1.3543550794310694e-14,1.4532979759240802e-14,1.551350187332591e-14,5.4462312933770955e-12,5.637355899579571e-12,5.8498516215997225e-12,6.075304182633445e-12,6.3083530233870895e-12,0.0020073409289350043,0.0021880018297438845,0.0023788278426485855,0.00257469276077685,0.0027728274305334486,0.38943697298707813,0.3907959618527726,0.39224799159670437,0.39373478069005047,0.39529454706753625,,,,,,,,,,,,,,,,,,,,1215.6711543557699,1.6009505638952563e-14,1.711474115640571e-14
68,2.239129401439108e-14,2.3881123673216722e-14,2.541924939030161e-14,2.6977299812753346e-14,2.8515518761198375e-14,5.433642496806176e-12,5.623231324424044e-12,5.833924537713389e-12,6.05743884468479e-12,6.288383955608637e-12,0.003881890632546518,0.004175678741730164,0.004487352571989016,0.0048057778047366165,0.005127250849107564,0.40002869445519107,0.4017916954293927,0.40369227812206565,0.40564082612729624,0.4076529252734661,,,,,,,,,,,,,,,,,,,,1215.6840171769295,3.610963386136301e-14,1.8606074797186678e-14
69,4.03856241864785e-14,4.313249699746867e-14,4.6410090721582566e-14,5.074141168323286e-14,5.6698148119603935e-14,5.413041370606725e-12,5.600306920249714e-12,5.808261775751868e-12,6.028783764556725e-12,6.256564240028081e-12,0.007034736785664303,0.007585435434275495,0.008238434870538897,0.00907069465161887,0.01017511337951717,0.412785294934663,0.41499283193987185,0.4173918595826077,0.4198509332061891,0.42238068043934957,,,,,,,,,,,,,,,,,,,,1215.6968797502423,7.468882598277436e-14,2.2956090424842285e-14
70,1.188922748014139e-13,1.4324427568207425e-13,1.6904337984274327e-13,1.9532150163970313e-13,2.2092479881831262e-13,5.38178812586455e-12,5.565686830863312e-12,5.7698374860473805e-12,5.986087196111258e-12,6.209574229291034e-12,0.020650955329857792,0.025023220225138178,0.029671923487275435,0.034499785644050505,0.039283973132760025,0.4276245937269858,0.4303144747747906,0.4332591994889604,0.4362708339503959,0.4393840521029926,,,,,,,,,,,,,,,,,,,,1215.7097420757227,1.8079002876306293e-13,2.7545387777899548e-14
71,3.576050058700198e-13,3.804124230069247e-13,4.040907522198879e-13,4.27642019938881e-13,4.498049575379777e-13,5.337331494445353e-12,5.516740254353784e-12,5.715515365003653e-12,5.926182470356418e-12,6.143428526236335e-12,0.0622270467205467,0.0666486445995028,0.07124235266409326,0.07588808543092801,0.08044945298044474,0.4444393432402579,0.44764834007186094,0.4511759898736874,0.4547910297350835,0.4585261766279423,,,,,,,,,,,,,,,,,,,,1215.7226041533852,3.5409197954599425e-13,3.3234299914950555e-14
72,4.418684146270907e-13,4.647326406108186e-13,4.886508190548539e-13,5.131745571943939e-13,5.368291306341818e-13,5.276898820881353e-12,5.450637837532008e-12,5.642631819256369e-12,5.845964158812294e-12,6.0548156537956125e-12,0.07841381229931577,0.08283644356510866,0.08756451403153098,0.09246009009407803,0.09728966988923907,0.4630991103662436,0.4668569773355995,0.470988307993239,0.4752422094688631,0.4796376199415634,,,,,,,,,,,,,,,,,,,,1215.7354659832433,5.319858517882429e-13,3.92408883707375e-14
73,4.906237313348995e-13,5.121855136333495e-13,5.355423820209351e-13,5.59537103210231e-13,5.829051233671558e-13,5.198326453317364e-12,5.365097582291651e-12,5.5486957643011906e-12,5.7428333577491645e-12,5.9417345030997856e-12,0.08854157613741279,0.09318346672986952,0.09823110123836616,0.10344858829565312,0.10867034250259561,0.4834308227789496,0.487757124261213,0.4925205835482576,0.49743409198701144,0.5024960192281229,,,,,,,,,,,,,,,,,,,,1215.7483275653124,6.266903007966925e-13,4.2021873719426395e-14
