wave,flux,error,best_fit_model,best_fit_intrinsic,model_low_2sig,model_low_1sig,model_high_1sig,model_high_2sig,intrinsic_low_2sig,intrinsic_low_1sig,intrinsic_high_1sig,intrinsic_high_2sig
1.213794872365525180e+03,6.755893924753762885e-15,7.013037149356976780e-16,8.192944161994881916e-15,8.237028609873261520e-15,8.016008090436944747e-15,8.102274139354043474e-15,8.284985050393120013e-15,8.371621206002523016e-15,8.060059348912491722e-15,8.146323349340089057e-15,8.329113405840874001e-15,8.415914204760743172e-15
1.213848241133470538e+03,6.768668984927732238e-15,5.121086477171346543e-16,8.873939095174678410e-15,8.924794737371440868e-15,8.680724834080664945e-15,8.774980661658806784e-15,8.974297453706213260e-15,9.068781872062610424e-15,8.731680380509933741e-15,8.825797365920632664e-15,9.025203108943260309e-15,9.119750664217724319e-15
1.213901609554861352e+03,8.131509162851734169e-15,7.879949175375053201e-16,9.644667913896445294e-15,9.703525510833532663e-15,9.433025600531668752e-15,9.536141829482859124e-15,9.754492166400774859e-15,9.857797544762641036e-15,9.491929561073894177e-15,9.595075658470377898e-15,9.813486228183185423e-15,9.916897908441531385e-15
1.213954977629703762e+03,9.833379411075329197e-15,7.294367940949822467e-16,1.052206346683928186e-14,1.059073876069245739e-14,1.028904616637166200e-14,1.040271557420069888e-14,1.064303750319246480e-14,1.075657615206359786e-14,1.035785199101149926e-14,1.047138628798663747e-14,1.071165526982645954e-14,1.082526016248528526e-14
1.214008345358005272e+03,9.656614511875245947e-15,6.579423847759519289e-16,1.152806038887232150e-14,1.160876168955885578e-14,1.127065086443352616e-14,1.139613730970558481e-14,1.166168282324960924e-14,1.178734978804655022e-14,1.135141035176857756e-14,1.147686123414368504e-14,1.174235791547318534e-14,1.186783287357678023e-14
1.214061712739772702e+03,1.352410577153265690e-14,6.438890730772994209e-16,1.269127061115137476e-14,1.278685245849732435e-14,1.240553693206611958e-14,1.254481686409071392e-14,1.283952740379326476e-14,1.297934350628643429e-14,1.250115589846490561e-14,1.264036125483130755e-14,1.293509824214553621e-14,1.307442586744253315e-14
1.214115079775012191e+03,1.228737915669243939e-14,3.778528884581470331e-15,1.405036153666945166e-14,1.416438662357086292e-14,1.373202443340709521e-14,1.388687683381156165e-14,1.421548892760607968e-14,1.437141808984256376e-14,1.384582383920715370e-14,1.400095480605828330e-14,1.432961080657620444e-14,1.448497430886524014e-14
1.214168446463730561e+03,1.714744510585431101e-14,1.247063511016615849e-15,1.565873984923946960e-14,1.579620695392479374e-14,1.530240379458022072e-14,1.547544049395240729e-14,1.584385098926323024e-14,1.601759011849427200e-14,1.543952963705269369e-14,1.561307674364347150e-14,1.598122629372800856e-14,1.615523155848216628e-14
1.214221812805934860e+03,1.969550282981167459e-14,7.616432301111019838e-16,1.759393941264157942e-14,1.776178381607123502e-14,1.719365264381602860e-14,1.738822217843902449e-14,1.780169388197185728e-14,1.799744994655448810e-14,1.736099110299122439e-14,1.755574815060185047e-14,1.796967202796967596e-14,1.816553503986462106e-14
1.214275178801631455e+03,2.935021914933858987e-14,2.761054895621575530e-15,1.997274638133782609e-14,2.018107404666815726e-14,1.952292471034999280e-14,1.974173896012998750e-14,2.020631890865296788e-14,2.042695522983609540e-14,1.972913990000125130e-14,1.994868789128645614e-14,2.041546126989266561e-14,2.063686272226975254e-14
1.214328544450827849e+03,3.114325174846378828e-14,6.701296308153339851e-15,2.297999394645336636e-14,2.324310926423965017e-14,2.247460027569454819e-14,2.271993583941591369e-14,2.324241262579035428e-14,2.349141666733462047e-14,2.273210835101008473e-14,2.298046339866241580e-14,2.350810347388121586e-14,2.375904920523865363e-14
1.214381909753530181e+03,4.023166488733814128e-14,2.721182599935932759e-15,2.691383535234893232e-14,2.725598419235929446e-14,2.634751206717372996e-14,2.662314927370878267e-14,2.720729964424135348e-14,2.748704923484232580e-14,2.667699215191593807e-14,2.695853912042372934e-14,2.755607139208147917e-14,2.784136692302686047e-14
1.214435274709745272e+03,4.531352210969160900e-14,1.289901982679956877e-15,3.227446550638279827e-14,3.273367737281542754e-14,3.164513795978550012e-14,3.194998358515111527e-14,3.260000434180821160e-14,3.291397435057045477e-14,3.207596536735002659e-14,3.239606442598187987e-14,3.307410455138925262e-14,3.339961123316288788e-14
1.214488639319480171e+03,5.407979319904322624e-14,1.637298187923769503e-15,3.990083751589986684e-14,4.054415171931046025e-14,3.920351815400036928e-14,3.954254867073722979e-14,4.026209280061250841e-14,4.061092173074676700e-14,3.979376304308424835e-14,4.015916949400270452e-14,4.093238973254074363e-14,4.130606679251749425e-14
1.214542003582741017e+03,7.445155052285356169e-14,3.847988707923019040e-15,5.120685399433597425e-14,5.215186867748019701e-14,5.043045320839784074e-14,5.080998168793396247e-14,5.160745441080188939e-14,5.199866218620039343e-14,5.128272135036252986e-14,5.170709691547942329e-14,5.260119570341886052e-14,5.303498195762644518e-14
1.214595367499534859e+03,9.501721746261138308e-14,2.522404076215136274e-15,6.854039095897046362e-14,6.999735548290595646e-14,6.764489994569486968e-14,6.808620255569402384e-14,6.899900132234746643e-14,6.944183279962894828e-14,6.894769257312131702e-14,6.946289167329632141e-14,7.053834962667348454e-14,7.106074905418420484e-14
1.214648731069868973e+03,1.159018793533769821e-13,6.012678367906636903e-15,9.570710201161289821e-14,9.805366822907166848e-14,9.461903689081836418e-14,9.515614343260694259e-14,9.626308320726798231e-14,9.679065056902448652e-14,9.668500785945990364e-14,9.735767651718421760e-14,9.875937876488542670e-14,9.943998061946965571e-14
1.214702094293749269e+03,1.652399811337297281e-13,4.494271463039734383e-15,1.387029129666407551e-13,1.426363442777714683e-13,1.373198211037318165e-13,1.380013538748182895e-13,1.394086049788353554e-13,1.400841197567336088e-13,1.407051580023567772e-13,1.416525627404414942e-13,1.436352157431492721e-13,1.446019895707791583e-13
1.214755457171183025e+03,2.310036026965237598e-13,6.019711207446199224e-15,2.064488883323700378e-13,2.131847053124558757e-13,2.047313561073721080e-13,2.055750426921199919e-13,2.073213294629255420e-13,2.081605673233709212e-13,2.103831708025648762e-13,2.117546234834235940e-13,2.146342646825657277e-13,2.160488172047770859e-13
1.214808819702176606e+03,3.263057334697322667e-13,6.449048410719606444e-15,3.108609491830539232e-13,3.225526612808065560e-13,3.090169430235267920e-13,3.099266765171712932e-13,3.117952564010250169e-13,3.127011699790286686e-13,3.186742444185840987e-13,3.205686859394892573e-13,3.245570331918824056e-13,3.265283646070888136e-13
1.214862181886737289e+03,4.624180328923911755e-13,8.522999848454492978e-16,4.650057144768429219e-13,4.852670338215552987e-13,4.633617901562641314e-13,4.641818205494687045e-13,4.658306782952190005e-13,4.666500797062897139e-13,4.801648585653635771e-13,4.826475923812182291e-13,4.879156483018965696e-13,4.905373564585203342e-13
1.214915543724871441e+03,6.989776077112268183e-13,9.779599278839984701e-15,6.775806080061511645e-13,7.121871961479107811e-13,6.741036478042160576e-13,6.757935994658266617e-13,6.793929027161199943e-13,6.811616885283316740e-13,7.045979577589300883e-13,7.082658421168687955e-13,7.162028611867120937e-13,7.202110054383438601e-13
1.214968905216586109e+03,9.682224572718274516e-13,6.930365026381800267e-15,9.441261676236436963e-13,1.001512792896959530e-12,9.353809909691774786e-13,9.396043966726747409e-13,9.487327146953226925e-13,9.533669239621507106e-13,9.876592942507795558e-13,9.942947683744304401e-13,1.008948552351535166e-12,1.016416358307592732e-12
1.215022266361887432e+03,1.287772397375757639e-12,1.885714831386397508e-14,1.237330554073187034e-12,1.328282535630561639e-12,1.222070193592078148e-12,1.229456038900276654e-12,1.245324036475012247e-12,1.253314541625931086e-12,1.304429901195175283e-12,1.315840668567745169e-12,1.341039165287261441e-12,1.353775604011815669e-12
1.215075627160782687e+03,1.528636621392920316e-12,1.319943629911667502e-14,1.490459331157213509e-12,1.625447549053401553e-12,1.475279516549488813e-12,1.482745064247098850e-12,1.498233921174481127e-12,1.505962374151412792e-12,1.588869745997503773e-12,1.606478815277691438e-12,1.644602116278608181e-12,1.663413664408837374e-12
1.215128987613278696e+03,1.570710377393009372e-12,3.312390149241448060e-15,1.569939626452983397e-12,1.759460594766056074e-12,1.563473190653261390e-12,1.566672545990025780e-12,1.573254295231494655e-12,1.576353679479420654e-12,1.702741298387121414e-12,1.730348790413400092e-12,1.788594020970575293e-12,1.816914182912984189e-12
1.215182347719381596e+03,1.393829075529964683e-12,1.728432502228972624e-14,1.388494305492697303e-12,1.693880475582084654e-12,1.358013737796361611e-12,1.372953047771297210e-12,1.403981887313932547e-12,1.418862495144129619e-12,1.614070633941416268e-12,1.653349850346067581e-12,1.734608083327545615e-12,1.774250440520276420e-12
1.215235707479098892e+03,1.183256803296082419e-12,2.613841434356464261e-14,1.205151156328048641e-12,1.734659659118560790e-12,1.172465579744687013e-12,1.188343940723274465e-12,1.221681286224410388e-12,1.237799483849577987e-12,1.665928927723235426e-12,1.700325357695330131e-12,1.770023172721619436e-12,1.807512272050979281e-12
1.215289066892436722e+03,1.176529122681746701e-12,4.017348935166280722e-15,1.182334014218590876e-12,1.732644802255449224e-12,1.174496979615331134e-12,1.178351088791688514e-12,1.186314654834235431e-12,1.190163415896210735e-12,1.670991433316639220e-12,1.701757670540865290e-12,1.763591105243692571e-12,1.794728814053769811e-12
1.215342425959401908e+03,1.057885031099974971e-12,1.033527554038335346e-14,1.039729014783148029e-12,1.513995928868323949e-12,1.024549259736944618e-12,1.031997802496918175e-12,1.047461724588490416e-12,1.054999207418445116e-12,1.448042672128336164e-12,1.480235440188747303e-12,1.548171742868031044e-12,1.581506243384802027e-12
1.215395784680001498e+03,7.263755192544587207e-13,1.010936296261700357e-14,7.204894787678422157e-13,1.192449161690727923e-12,7.084050402061937427e-13,7.143187685817354143e-13,7.265826522301103696e-13,7.324826959763350758e-13,1.128249826344419582e-12,1.159229145636340766e-12,1.226565882732624250e-12,1.259989509167713088e-12
1.215449143054242541e+03,3.622576722728286708e-13,5.871574462590082058e-15,3.843063239911335424e-13,8.759380721768968910e-13,3.744844436972035982e-13,3.793610670357537280e-13,3.891202706200978105e-13,3.938359224176131492e-13,8.205366561504844206e-13,8.470696723895279059e-13,9.059515591054665330e-13,9.355737730811075652e-13
1.215502501082130948e+03,1.772384929465059637e-13,6.509126474803234393e-15,1.536307545026801177e-13,6.107407804944821145e-13,1.494725659848576806e-13,1.515626999507051862e-13,1.556031457675326523e-13,1.576189555388971946e-13,5.673858134314456329e-13,5.880442110501299945e-13,6.346821268350950317e-13,6.585325382289823717e-13
1.215555858763673996e+03,8.695988959697605984e-14,3.920977003391984168e-15,6.684082497651988215e-14,4.109446078822629186e-13,6.573377912134371643e-14,6.627430434640000579e-14,6.740286695229483267e-14,6.797734659251737890e-14,3.797753412711252053e-13,3.945492175602129453e-13,4.284495477112166903e-13,4.460798869565137510e-13
1.215609216098878051e+03,5.496091791055503670e-14,4.551896265497979837e-15,3.662818164960810181e-14,2.718822374268445766e-13,3.602551794588137583e-14,3.632069752790853011e-14,3.693102874735045557e-14,3.723203521324909789e-14,2.509491003177829009e-13,2.608213704715345875e-13,2.837863258676077467e-13,2.959000622231325082e-13
1.215662573087750161e+03,3.943897866007903558e-14,2.372515510705684362e-15,2.545284984275061229e-14,1.802438192367995322e-13,2.446607901177822456e-14,2.504164676297923414e-14,2.578905490293645223e-14,2.609855911214451796e-14,1.668420622161093853e-13,1.731412548209611032e-13,1.879186521725579955e-13,1.958032249411670591e-13
1.215715929730296921e+03,2.457642397177369337e-14,4.242982446645809702e-15,3.038770778957245130e-14,1.217575828875811519e-13,2.819746396574101545e-14,2.945100256346071332e-14,3.116483437996584587e-14,3.188487745772085581e-14,1.134221945193328386e-13,1.173389156875560517e-13,1.265486664765609464e-13,1.314818569210191440e-13
1.215769286026525606e+03,3.077225291521085316e-14,2.752360943726161065e-15,3.497203946071663624e-14,8.493290993566142973e-14,3.351497864519593055e-14,3.424054061395092142e-14,3.570497927174682515e-14,3.646054314005037039e-14,7.981457836859251796e-14,8.222321903848231045e-14,8.787541682502889535e-14,9.089499667335697811e-14
1.215822641976441901e+03,4.648909957584363754e-14,3.286081543466141282e-15,3.431956025373593899e-14,6.169337406040061683e-14,3.318492861681119987e-14,3.373306359474036386e-14,3.492834649562963516e-14,3.555689182993568090e-14,5.853673313001714860e-14,6.002689444301240879e-14,6.349958030233659085e-14,6.533761312824267796e-14
1.215875997580053763e+03,3.827528790436325431e-14,5.660712439788550558e-15,3.143475260390379591e-14,4.679682867416745576e-14,3.054498907599362113e-14,3.096823090116464836e-14,3.191612766804821556e-14,3.240145158983553678e-14,4.480033112631342993e-14,4.574829623403668939e-14,4.792400717603229512e-14,4.905835305863891000e-14
1.215929352837366878e+03,3.421018506270790227e-14,2.198634872009058631e-15,2.822120849571364734e-14,3.698217477829765109e-14,2.751371254118084735e-14,2.785041524038088129e-14,2.860146473601684314e-14,2.898090473444186076e-14,3.566489436860045702e-14,3.629436297790813278e-14,3.771188004489228198e-14,3.843586137720923286e-14
1.215982707748388520e+03,2.953284562840197789e-14,6.904896684893493769e-16,2.517722376143600239e-14,3.026753320194968157e-14,2.459493212472765395e-14,2.487475292611158787e-14,2.548498538213214039e-14,2.578666290908813308e-14,2.934698243854914261e-14,2.979033276333930042e-14,3.076724790759729647e-14,3.125480884390271395e-14
1.216036062313125512e+03,2.247174462739793376e-14,4.065718412497875613e-15,2.241593494606195160e-14,2.547173383132407734e-14,2.192304724396635796e-14,2.216235672462914828e-14,2.267444349873758694e-14,2.292208107569657061e-14,2.478736026223376031e-14,2.511977706274266136e-14,2.583727164787712241e-14,2.618784256312712696e-14
1.216089416531584220e+03,2.156922371896609127e-14,2.962182669252831831e-15,1.997477827563125068e-14,2.189637618724075480e-14,1.954738316825868929e-14,1.975663503745831463e-14,2.019648131925312003e-14,2.040771353687706041e-14,2.135804643667009336e-14,2.162125362479338252e-14,2.218045248258244078e-14,2.244990915073256201e-14
1.216142770403771465e+03,1.635133577868446749e-14,1.687844693155234744e-15,1.785133115768517711e-14,1.912654537555356026e-14,1.747659099390373033e-14,1.766110149712213553e-14,1.804496735001925286e-14,1.822906875020939883e-14,1.868377909844752196e-14,1.890122734922986523e-14,1.935847554737966654e-14,1.957681532112792212e-14
1.216196123929694522e+03,1.713318872980495303e-14,7.418791386710275238e-16,1.602048060302519582e-14,1.691114766827525100e-14,1.568855921063186143e-14,1.585218687802230747e-14,1.619238242825030671e-14,1.635480007635002403e-14,1.653481189040622848e-14,1.672025217276441541e-14,1.710755664519171496e-14,1.729155711409608789e-14
1.216249477109359987e+03,1.495160660802034549e-14,1.611040432158628100e-15,1.444552746591582405e-14,1.509397603472296458e-14,1.414837450173744797e-14,1.429519348190586945e-14,1.459930726851273753e-14,1.474505692739936737e-14,1.476662764744734346e-14,1.492836974436850273e-14,1.526449879114278381e-14,1.542409620660213134e-14
1.216302829942773769e+03,1.196983112202008866e-14,9.852941043727381711e-16,1.308648528722881944e-14,1.357432362742251551e-14,1.281845281301554244e-14,1.295108158588318138e-14,1.322507704872340421e-14,1.335665796819709622e-14,1.328491334632879295e-14,1.342818794423683206e-14,1.372477873788718119e-14,1.386605880031967618e-14
1.216356182429943601e+03,1.212502766009448676e-14,1.859223877730399802e-15,1.190787676326965207e-14,1.228418709814725866e-14,1.166509147169373892e-14,1.178529119084531183e-14,1.203337088467225824e-14,1.215290336326917381e-14,1.202544406583787054e-14,1.215368484815945638e-14,1.241853124992096879e-14,1.254502267939559448e-14
1.216409534570875167e+03,1.232109740301671085e-14,1.632500022257918899e-15,1.087978754089886961e-14,1.117587111951967965e-14,1.065868623181970049e-14,1.076842585098153278e-14,1.099417295077263600e-14,1.110302951672181453e-14,1.094266887976737220e-14,1.105831767854546732e-14,1.129693350907086513e-14,1.141104567628108240e-14
1.216462886365576878e+03,8.637442800090854372e-15,1.175264539144881940e-15,9.978054996059913102e-15,1.021461895237135188e-14,9.775962709790852370e-15,9.876321945932042278e-15,1.008264003503373493e-14,1.018223054773426338e-14,1.000311902499066394e-14,1.010798008528360240e-14,1.032449341882915296e-14,1.042817842128920625e-14
1.216516237814053511e+03,5.897748296821706578e-15,4.294020299942951210e-16,9.182770388523720819e-15,9.374346689347306321e-15,8.997302348655766084e-15,9.089313859592489711e-15,9.278693325827296083e-15,9.370331999333821745e-15,9.181473058914446851e-15,9.277045702034656404e-15,9.474534470246167728e-15,9.569208700647463288e-15
1.216569588916313023e+03,5.771637110838889452e-15,8.322261102441872847e-16,8.477849168548438788e-15,8.634835399293853278e-15,8.307065222892446449e-15,8.391841806130839971e-15,8.566178339261205134e-15,8.650611181521488798e-15,8.458076144608183315e-15,8.545689137849355716e-15,8.726623690018435599e-15,8.813458042927662990e-15
1.216622939672362008e+03,7.596673859817204892e-15,1.070073370145150639e-15,7.850285170276079319e-15,7.980183983204488197e-15,7.692645721216698096e-15,7.770791980386034446e-15,7.931848695369462942e-15,8.009554966798333913e-15,7.817589938653168410e-15,7.898206942390022106e-15,8.064608800871471335e-15,8.144615092625484792e-15
1.216676290082206833e+03,6.268160888395664698e-15,1.143105105629202799e-15,7.289164468691409412e-15,7.397690215433020416e-15,7.143065224096919529e-15,7.215560508709498456e-15,7.364779648383026639e-15,7.436723633041678059e-15,7.247578723554365411e-15,7.321992645327516905e-15,7.475626162730214710e-15,7.549590921908165690e-15
