,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,wave_lya,flux_lya,error_lya
58,2.9186704985915737e-13,2.9939750299838794e-13,3.0725333315852926e-13,3.15345602102248e-13,3.232123009996487e-13,3.693132914292288e-13,3.8182620660938e-13,3.9481997599794733e-13,4.082689721118821e-13,4.2285138016159616e-13,0.7635636438831991,0.7740649076877744,0.7841782330236025,0.7939539609876354,0.8033175134480041,0.9353430936402516,0.9387769911680588,0.9421542328759713,0.9454472026809517,0.9484382026656947,,,,,,,,,,,,,,,,,1215.2500139286703,3.2097084321988656e-13,2.637875066492136e-14
59,3.2090968174153235e-13,3.289489339459376e-13,3.375664255500739e-13,3.4620792901185824e-13,3.5456043877139973e-13,4.1389087495021373e-13,4.282078567057098e-13,4.4310841047110126e-13,4.586579580589118e-13,4.754032626294337e-13,0.7475061201796319,0.7591115866299537,0.7698928983819906,0.780328418920275,0.7902848538515395,0.927279784239071,0.9310918058427827,0.9348161441911109,0.9384484375880844,0.9417552789495827,,,,,,,,,,,,,,,,,1215.2628789052824,3.4811967219473827e-13,2.6966372995815453e-14
60,3.5064371140539e-13,3.591509689563154e-13,3.6821937888290036e-13,3.773223634255257e-13,3.857881676515851e-13,4.638018083875589e-13,4.802785200484299e-13,4.973409438744713e-13,5.151835222733739e-13,5.347615672148715e-13,0.7268448218329562,0.7398001793773751,0.7515508239083744,0.763030153488456,0.773834390358825,0.9181713689540756,0.9223919592529845,0.9264884082324081,0.9304698053319342,0.9341867142848376,,,,,,,,,,,,,,,,,1215.2757436338418,3.5487360120801947e-13,2.7403592768463284e-14
61,3.7821271104496367e-13,3.8704106935544905e-13,3.9613929341033973e-13,4.05408949194341e-13,4.1368890731379946e-13,5.195590605758831e-13,5.383697781129468e-13,5.57843877466509e-13,5.783550243105602e-13,6.009086307482355e-13,0.6973783320655087,0.7123147162199085,0.7256905036424601,0.7387229444579457,0.7507787365524443,0.9079074579874489,0.9126071603871153,0.9170851006162963,0.9214536556342365,0.9255554450615608,,,,,,,,,,,,,,,,,1215.2886081143622,3.759957026717303e-13,2.8309128587318544e-14
62,3.968194336597539e-13,4.0613063492824617e-13,4.152597173866513e-13,4.242897850740625e-13,4.3268242089654087e-13,5.813151252147807e-13,6.026434409539258e-13,6.251045495600516e-13,6.485820171319956e-13,6.745625285255946e-13,0.6493183997140325,0.6685843671010453,0.6851627863502882,0.7012554243070901,0.7155030243230192,0.896538758117918,0.9016370244183641,0.9065143607954029,0.9112956673712825,0.9158195381469182,,,,,,,,,,,,,,,,,1215.301472346859,4.1653990369774907e-13,2.943301255931702e-14
63,3.9244950475881335e-13,4.0445700474324216e-13,4.1507383951688783e-13,4.2490096284753414e-13,4.3432840079080826e-13,6.493930602765112e-13,6.733699679060952e-13,6.991306236412284e-13,7.259888025755805e-13,7.555031257106691e-13,0.5713352685648182,0.5980022253385624,0.6194155621474552,0.6404030266255019,0.658987064631268,0.8838895632250778,0.8894243296276889,0.894739254407521,0.899899001406586,0.9048397192124704,,,,,,,,,,,,,,,,,1215.314336331346,3.8954646799926884e-13,2.8582022274133145e-14
64,3.54166259638869e-13,3.7109198155674206e-13,3.845550204514078e-13,3.972886338331877e-13,4.091499186241532e-13,7.232830215926061e-13,7.503815766074675e-13,7.800452629068972e-13,8.109311923932575e-13,8.443771677355966e-13,0.4627317511854493,0.4945691924703425,0.520790790403239,0.5468195637399689,0.5706803130573392,0.8699443410661886,0.8759111248690522,0.8816544565287604,0.8872176493892588,0.8926272716820867,,,,,,,,,,,,,,,,,1215.3272000678376,3.829068138949676e-13,2.8848820711859305e-14
65,2.9325064095123556e-13,3.1108905580364357e-13,3.260475162440735e-13,3.407795830486905e-13,3.5500660873818854e-13,8.030652013592426e-13,8.33879882712924e-13,8.678216496297972e-13,9.027763312803847e-13,9.408505611514114e-13,0.3451169304124731,0.3744357513603276,0.4011222642372542,0.42855130602559616,0.4542328347911133,0.8545453594846747,0.8610902129724207,0.8672224011019363,0.8731757522642726,0.8790302741324587,,,,,,,,,,,,,,,,,1215.3400635563476,3.484173670062485e-13,2.73849546554919e-14
66,2.3800626521641057e-13,2.518776293270929e-13,2.648530844337884e-13,2.779767311094196e-13,2.908525340548457e-13,8.881596531994863e-13,9.233137584123171e-13,9.620470740284132e-13,1.0015579920418552e-12,1.0450970882904953e-12,0.24897767612709162,0.2716951579929667,0.29379059589238465,0.3172750010825054,0.3397164303464799,0.8378821510881869,0.8448274081198471,0.8514105086397625,0.8577733275541192,0.8640027483957041,,,,,,,,,,,,,,,,,1215.3529267968913,2.7525589229790426e-13,2.5065846208545406e-14
67,2.1165583150342266e-13,2.2079717172990655e-13,2.3102066463922875e-13,2.412606382662637e-13,2.5119560351431936e-13,9.787479648925176e-13,1.0181812137634304e-12,1.0619865713348653e-12,1.1069935333997987e-12,1.1556561877317695e-12,0.19353538088927139,0.209502186003546,0.2268691885435861,0.24474643133765936,0.263133290995034,0.8198105701148601,0.8272222844850308,0.8342257555101393,0.8409879672777938,0.8475559333470856,,,,,,,,,,,,,,,,,1215.3657897894825,2.1033476067626455e-13,2.2336121599758445e-14
